publishedAt,authorDisplayName,textDisplay,polarity_score,polarity
2023-10-05T07:11:51Z,@Vijay-xv4kx,kan masih ada shopee wkwkwk,7,positive
2023-10-12T01:27:18Z,@hidayatarmanpermana5437,shopee tokopedia lazada bukalapak dan blibli,0,neutral
2023-10-05T06:28:33Z,@bapauda6840,blokir saja tiktoknya sekalian tontonan merusak moral anak,-5,negative
2023-10-17T06:20:31Z,@cargiewinata1963,tiktok joget joget dolo,0,neutral
2023-10-05T06:16:14Z,@bapauda6840,tutup tiktok tidak perlu lagi ada tiktok shop dan online shop lainnya harus diperhatikan harganya online harus bayar pajak yang tinggi harus ada ongkir dan produsen tidak boleh jualan di online diecer harga grosir gratis ongkir pula,-14,negative
2023-10-05T06:52:18Z,@nozerumahgaya,saya sebagai pelaku umkm sangat setuju untuk menjaga harga agar tetep stabil alangkah bagusnya klo online shope di kenai pajak tetapi sewajar nya saja untuk pajak nya jadi tidak saling memberatkan sebagai penjual online dan penjual offline,-11,negative
2023-10-07T05:36:53Z,@desinovitasari2854,ini zaman modern apa harus papua datang ke jakarta belanja kenapa online ditutup semua,-10,negative
2023-10-05T06:10:36Z,@bapauda6840,kasihan pedagang yang sudah sewa toko sepi gara tiktok harga murah bikin hancur umkm barang cina banjir konveksi banyak yang gulung tikar ingat pertukaran uang tidak merata parahnya lagi produsen ikut jualan di online,0,neutral
2023-10-17T06:20:02Z,@cargiewinata1963,mereka beli di alibaba kali bukan dari orang indonesia langsung dari website orang luar alibaba,-4,negative
2023-10-05T06:04:48Z,@yayatsupriatna9612,dampaknya bukan hanya seller juga tetapi kurir yang sudah bekerjasama dengan tiktok juga terdampak tanah abang cuma ribuan orang tiktok jutaaan orang yang terdampak,-16,negative
2023-10-08T16:54:37Z,@adonkiting889,inilah ciri manusia tidak tau apa ekonomi indonesia hanya mikir kan ekonomi perut nya sendiri fikir,-10,negative
2023-10-05T05:56:14Z,@namina5005,ini fair menurutku karena kalo ada di ecommerce yang resmi jelas mereka yang buka ecommerce tersebut adalah orang yang benar akan membeli sesuatu kalau di tiktok kan tidak awalnya cuma sekedar nonton saja karena pas geser ada yang jualan jadi belanja deh,-9,negative
2023-10-05T05:53:33Z,@yuliazidane7792,jujur untuk emak kayak aku kecewa banget tiktokshop ditutup karena tidak perlu rempong panas n bawa anak ke pasar buat belanja dan tentunya belanja di offline jauh besar ongkosnya tetapi gapapa masih ada shopee dan lazada intinya malsa banget belanja kudu nyamperin toko,12,positive
2023-10-05T05:51:08Z,@oktara8532,ngelive kaum milenial masa tidak bisa bedain mana yang legal mana yang illegal pindah aja ke platform yang sudah resmi kayak mau kiamat aja,-13,negative
2023-10-05T05:45:25Z,@user-fe2nn8zc2h,tiktokshop pedagangnya hanya anak muda sedangkan di pasar jarang anak mudanya anak mudanya kerjanya pengen enak cuma duduk dan ngomong sedangkan ibu ibu bapak bapak di pasar harus bersabar nunggu pembeli bagus tiktokshop di hapus kasihan ibu ibu dan bapak bapak di pasar,-8,negative
2023-10-05T05:41:50Z,@benibeni7457,mantap setuju bangetttttt ditutup biar indonesia tidak di jajah terus,0,neutral
2023-10-05T05:39:06Z,@hellenleong7837,pemerintah tidak berani bikin aturan buat koruptor,-4,negative
2023-10-05T05:53:35Z,@dvinostory2154,tinggalnya satu kolam masalahnya,0,neutral
2023-10-05T05:38:02Z,@rajekkynsasmita4440,artis tajir melintir ikut ikutan sih jadi ya titokshop dapat imbas ya,10,positive
2023-10-05T05:27:39Z,@ramdanipermana3763,saya bodo amat karna saya dari dulu tidak maen tiktok,-12,negative
2023-10-05T05:14:34Z,@rinalrinaldi-nv4vb,aku sebagai petani aku setuju jual online di tutup jualan nya tidak sehat dia jual barang terlalu murah harga tidak masuk akal monopoli,0,neutral
2023-10-05T05:07:31Z,@saripable,lebay ah,-4,negative
2023-10-05T05:05:38Z,@sitiasiah1305,bye bye yuk pindah lapak,-1,negative
2023-10-05T06:08:23Z,@oktara8532,nah itu masih banyak lapak si oren juga ada live nya,8,positive
2023-10-05T05:01:55Z,@aidilani8537,kamu suruh orang bayangin coba kamu bayangin yang di pasar yang jadi korban,-13,negative
2023-10-05T04:57:41Z,@Sahroni-iq4dt,saya heran kenapa bingung wadah buat jualan banyak sopee lazada dll,6,positive
2023-10-05T04:55:47Z,@Sahroni-iq4dt,saya tidak pernah beli lewat tiktok,-4,negative
2023-10-08T16:56:15Z,@adonkiting889,sama,3,positive
2023-10-05T04:55:13Z,@hendriyahya7995,kenapa harus jualan di tiktok kan ada marketplace lainnya kalo produk kamu sudah terkenal dan harga bisa bersaing kenapa takut ya tidak konsumen pasti nyari kemanapun kamu pindah,16,positive
2023-10-05T04:49:31Z,@cellglassr1484,cari yang lain ecommersnya,-12,negative
2023-10-05T04:39:57Z,@unknow3395,tiktokshop hanya menggiur barang viral dan gratis ongkir seperti sambel coklat chrunci baso aci,-2,negative
2023-10-05T04:38:31Z,@anggatshu10,bagus lah kalau di tutup wkwkwkwk,-1,negative
2023-10-05T04:27:32Z,@bulle3382,ya kamu jualan lah di pasar tanah abang ngapain sampe perusahaan sampe buruh kejauhan gaes ngomongnya,8,positive
2023-10-05T04:26:42Z,@bulle3382,hanya gara pasar tiktok yang ngayomin warga banyak bisa di tutup,-11,negative
2023-10-05T04:22:46Z,@palmacampursari1124,syukurin,0,neutral
2023-10-05T04:18:45Z,@dayrinexploring5429,bagus deh tiktok shop di tutup meresahkan aja,-3,negative
2023-10-05T04:09:57Z,@bocil838,setelah saya tau tiktokshop di larang saya semakin malas beli produk umkm,-10,negative
2023-10-05T04:21:05Z,@nasannurjaman6004,nan,0,neutral
2023-10-05T09:18:04Z,@pashaphonsel1209,sy malah semakin cinta umkm,5,positive
2023-10-05T10:55:09Z,@bocil838,ngapain beli lokal bagus kaga mahal iya saya sebagai pembeli yang cerdas malah ngerasa rugi beli barang umkm,-9,negative
2023-10-05T04:03:43Z,@RagilGiela-uk9fp,hore merdeka mampuzzzzz,0,neutral
2023-10-05T03:35:20Z,@zlacvy,enakan belanja di tiktokshop,2,positive
2023-10-05T03:21:58Z,@ahmadardiyansah167,alhamdulillah di tutup,3,positive
2023-10-05T02:19:01Z,@irwankurniawan886,banyak yang kaya mendadak di tiktokshop giliran di tutup merasa seolah olah jatuh miskin,-5,negative
2023-10-05T20:44:37Z,@anggasadewa1305,pusing pada bayar cicilan karena kaya mendadak gara gara tiktok waww,-15,negative
2023-10-08T07:17:47Z,@worstnetizenbasedonmicroso653,di twitter berseliweran info katanya orang orang yang hadir di streamingnya live tiktok mostly adalah fake buyer yang dibayar sama si streamer tersebut jadi mereka cuma ngeramein acara saja buat bikin orang penasaran jadi nominal pendapatan milyaran itu cuma ilusi bukan beneran income parah sih kalo itu beneran bikin persaingan bisnis tidak sehat,-11,negative
2023-10-17T06:18:24Z,@cargiewinata1963,titokshop kalahnya sama jemput bola,3,positive
2023-10-05T01:56:05Z,@J_Oppenheimer,ditutup demi pedagang tanah abang agar bisa kaya raya kembali,-1,negative
2023-10-05T04:32:28Z,@faisalnahdi3804,bukan ini pemerintah ngambil jalan tengah dan bukan ditutup tetapi ada regulasinya kedepan kalau dibiarkan khawatir akan adanya monopoli perdagangan dari china yang terkena imbas bakal menyeluruh ke semua lapisan rakyat indonesia sekarang ini baru di permukaan imbas hanya ke umkm,-16,negative
2023-10-05T04:37:22Z,@BillyManson-oe2sb,maen ke pasar tradisional lain kasihan deh ngeliat pedagang,-2,negative
2023-10-05T07:23:55Z,@bocil838,iya kasihan hidupnya tidak ngikutin zaman dan malah memakai cara zaman purba sebaiknya orang yang kaya gitu di air keras dan di museum kan,-10,negative
2023-10-05T07:42:15Z,@BillyManson-oe2sb,kemajuan zaman diikuti dengan keseimbangan kalau hanya maju tanpa adanya keseimbangan juga kurang tepat,1,positive
2023-10-05T08:23:19Z,@bocil838,zaman diikuti dengan belajar tergantung sdm nya mau belajar atau tidak,9,positive
2023-10-04T23:16:41Z,@bearbrand7465,kembali ke pasar tradisional adalah yang terbaik untuk menjaga stabilitas perekonomian nasional yok kembali ke pasar kalau dengan tiktok live hanya akan menguntungkan sebagian kecil pihak saja tetapi dengan pasar tradisional akan menguntungkan lebih banyak pihak terima kasih pak mendag,-6,negative
2023-10-05T00:16:03Z,@phuncek,jumlah pedagang online sekarang lebih banyak dari pedagang pasar ya itu tanah abang sudah pada kaya semua sudah jualan berapa lama mereka puluhan tahun loh ini yg jualan di tiktok aja belum lewat tahun zaman skrg uda canggih serba digital yg harus dipikirkan itu masa depan lagian pedagang pasar itu jualnya mahal banget harusnya pedagang pasar itu yang melek digital,-9,negative
2023-10-05T00:21:51Z,@bearbrand7465,kan pendapat pribadi saya pasti ada yang setuju ada yang tidak tetapi kalau dilihat dari keputusan pemerintah dan kebanyakan komentar netizen sori bro kayaknya pendapat saya benar pemerintah pasti akan mengambil kebijakan yang lebih menguntungkan banyak pihak selain itu menurutku sebagian besar pedagang indo belum melek teknologi jadi ya untuk sekarang memang harus diatur lagi ketika sebagian besar sudah melek teknologi baru aturannya dirubah lagi semua ada prosesnya bro mungkin saya bukan pakar ekonomi tetapi itu pendpat saya lagi komentar boleh tetapi tidak usah soksokan merendahkan orang lain bro pakai bilang saya egois dan terbelakang,-29,negative
2023-10-05T00:33:16Z,@phuncek,anda kan tahu saat ini banyak yang berduka karena tiktokshop ditutup menurut anda pendapat anda benar itu atas dasar apa pembenaran sendiri oke saya minta maaf atas komen saya tadi semestinya saya harus hargai pendapat anda saya ralat jadi apakah anda pedagang online yang berhasil berkat adanya tiktok anda orang yang sudah terkena phk dan kemudian bangkit karena tiktok anda orang yang bisnisnya hancur karena pandemi kemudian bangkit karena tiktok boleh tidak saya ngeluarin statement begitu tentu pasti kurang tepat karena saya tidak di posisi anda zaman sudah canggih dan digital sekarang anak muda penerus bangsa mana yang tidak pakai smartphone pasti kebanyakan pengennya mudah sekarang kemudian katanya tinggal pindah jualan ke marketplace lain segampang itukah saya jualan di toped kalau tidak ngeluarin biaya iklan tidak bakal ada orderan shopee juga sama kadang sudah ngeluarin biaya iklan adanya malah rugi dan dengan umur saya sekarang sudah susah cari kerja harapan saya sebagai pedagang kecil yang tidak sanggup sewa ruko lapak dipasar bermodal kecil harus gimana,-106,negative
2023-10-05T00:41:16Z,@phuncek,kalau pemerintah mau blokir jangan ngasi waktu seminggu nasib kami gimana pemerintah ada kasi solusi tidak harusnya yang diregulasi itu barang import tidak resmi yang dijual di tiktokshop dan peraturan produsen yang tidak boleh jualan langsung di marketplace kalau soal promo dan bakar duit toped dan shopee dulu juga pernah kalau soal perizinan tinggal di urus kalau soal ecommer dan sosmed tidak bisa dijadiin satu malah menurut saya ini inovasi tinggal buat aturan kalau konten yang harus didahulukan itu produk dalam negeri dan bantu majukan produk lokal bukan langsung blokir gini banyak pedagang sudah siapin promo dana dan sewa influencer untuk program jualannya dan bahkan banyak yang import secara resmi untuk dijual saya ini bukan importir ya cuman pedagang kecil pengecer di online saya ambil barang sama agen di kota saya sama distributor di glodok mangga dua dan itc mangga dua sama distributor di tanggerang sama produsen sepatu dalam negeri juga belinya ecer dikit makanya saya kesal saya tidak jual barang import tidak resmi langsung dari tiongkok,-18,negative
2023-10-05T01:30:00Z,@ariekayaorang926,pasar tradisional tidak mau intropeksi diri dan kayak preman playing victim parkir liar ditawar penuh drama maksa beli copet dimana kumuh apanya yang mau dibenahi kalau pola pikirnya tetap aja pra sejarah,-16,negative
2023-10-04T23:14:10Z,@pocongkpop732,wajar saja di hapus kebanyakan artis udah tajir melintir masih ikutan jualan live banting harga lagi,10,positive
2023-10-17T06:22:50Z,@cargiewinata1963,mungkin dia live tujuan nya bukan semata mata uang tapi pamor dia kalo mangkin naik nanti bakalan di undang ke acara acara tv atau di sinetron bukan uang tetapi pamor emang kamu tidak paham gerak gerik mereka,-16,negative
2023-10-04T23:06:58Z,@nurkhasanah5265,bagus deh di tutup emang pemerintah harus ambil tindakan banyak olshop yang lain kalau mau kembangkan usaha kalian kan sudah ada wadahnya jangan yang di pikirin keuntungan saja tetapi pikirin juga umkm yang lain kaya pasar tradisional dan yang lain memang tiktok mersahkan dari awal muncul,-25,negative
2023-10-05T00:18:17Z,@phuncek,pasti anda bukan pedagang online makanya komennya gini,-1,negative
2023-10-05T00:43:11Z,@nurkhasanah5265,saya jualan online tapi tidak mau nyerobot kayak begitu karena saya yakin dengan rejeki saya,-7,negative
2023-10-05T00:48:46Z,@phuncek,masih tidak yakin anda pedagang online maaf,-1,negative
2023-10-04T22:48:26Z,@syarifhidayat527,blokir saja si tiktok nya sekalian,-6,negative
2023-10-05T00:23:33Z,@phuncek,tidak jelas anda,-5,negative
2023-10-05T00:50:02Z,@ofickgamesz269,tidak jelas kamu komen atas,-8,negative
2023-10-04T22:16:33Z,@user-np6mm3jj6l,uuurrrraaaaaaaaaa,0,neutral
2023-10-04T22:15:14Z,@user-np6mm3jj6l,kalau usaha itu harus punya toko atau ruko jangan mau enak saja dagang di online modal dong jangan mau enak saja,6,positive
2023-10-05T00:19:44Z,@phuncek,jadi kalau modal kecil tidak boleh buka usaha zaman sekarang sudah dipermudah kok anda malah sewot padahal sudah dipermudah dengan adanya kesempatan online,6,positive
2023-10-05T02:03:33Z,@J_Oppenheimer,saya seller di onlineshop juga punya toko boss dan gudang offline emangnya kalau penjual online tidak punya modal gitu itu barang dagangan bisa terbang secara ghoib kerumah konsumen gitu emng dikira jualan dionline tidak dipotong fee iklan biaya layanan dll gitu makanya belajar bos jualan jangan cuma duduk manis menunggu pembeli kan ada fasilitas marketplace dimanfaatkanlah jangan banyak alasan babibu,4,positive
2023-10-05T09:42:29Z,@user-np6mm3jj6l,tutup juga toko online yang sering menjatuhkan harga pasar segera,-2,negative
2023-10-07T05:39:08Z,@desinovitasari2854,makanya jualan ya biar tau kami pake paket juga kami punya bayi yang mau diurus suami kami gaji kecil liat dari kacamata ya,6,positive
2023-10-04T20:33:55Z,@beesclub9317,rezeki udah ada yang ngatur,2,positive
2023-10-04T20:09:57Z,@telolet6782,sebelum ditutup sepatutnya dibincangkan dengan teliti dulu dibuat batas waktu biar semua seller buyer win win solution,-3,negative
2023-10-04T17:14:06Z,@FathulLuay,alhamdulillah tiktokshop di tutup,3,positive
2023-10-05T00:20:44Z,@phuncek,pedagang tanah abang ya,4,positive
2023-10-04T16:37:28Z,@rodhifa,untung saya sudah banyak menikmati voucher di tiktokshop kalau ditutup ya sudahlah tiktok pemain baru pantas harganya murah sama seperti shopee pertama belanja di shopee di tahun semuanya murah banyak diskonnya bahkan saya pernah meletus balon check in dapat rb koin sekarang hanya dapat koin jauh banget,10,positive
2023-10-04T15:47:32Z,@febbynurzamilah556,setuju,4,positive
2023-10-04T13:36:47Z,@desinatalia5431,enak belanja di tiktok karena banyak diskonnya kalau sudah di tab banyak dapat diskonnya suka belanja di tiktokshop tidak pernah kecewa,14,positive
2023-10-04T12:30:55Z,@irwandepriyanto2778,apakah tiktikshop tidak bayar pajak kah,-7,negative
2023-10-04T15:49:39Z,@habibirezi8760,bener ini harusnya ada pajak setiap penjualannya,4,positive
2023-10-07T04:45:57Z,@BlackDiamond-sw8lo,bayar dong sejak keluar dari pabrik juga sudah bayar,-1,negative
2023-10-04T12:28:10Z,@Evisoebank7980,alhamdulilah akhirnya,3,positive
2023-10-04T12:15:42Z,@AchmadmuftiN,gegara tiktokshop di banyak yang nganggur pasti ada tim di phk,-5,negative
2023-10-04T15:31:40Z,@rapneverdie21,lebay ah lebih kasian pedagang konvensional yang sudah bayar ruko tpi pada sepi gara tiktok,-17,negative
2023-10-04T12:14:58Z,@user-lr5qj9sr7m,jadi kak kalau udah pesanan dalam perjalanan apakah tetap sampai karena tiktok shop di hapus,2,positive
2023-10-04T12:28:18Z,@agungasmoro-ud4my,la itu yang jadi pertanyaan,-6,negative
2023-10-04T12:13:52Z,@nafisahkhayla1258,rejeki bukan dari tiktok,-2,negative
2023-10-04T11:56:02Z,@oreocrisppul1386,tutup,-2,negative
2023-10-04T11:52:17Z,@HanyaManusiaBiasa-kl4fo,tiktokshop ditutup bagus sekali tetapi pasar konvensional gimana kabar sekarang sudah membludak kah,6,positive
2023-10-04T22:39:29Z,@schonheithartmann5689,alhamdulillah sudah mulai,9,positive
2023-10-05T00:23:58Z,@phuncek,buktinya,0,neutral
2023-10-05T02:05:55Z,@J_Oppenheimer,alhamdulilaah hari ini pasar tanah abang ramai sekali antriannya panjang mebludak sampai keluar pasar,3,positive
2023-10-05T04:52:22Z,@nurita9959,sudah rame kembali pasar tradisional mantap pemerintah,5,positive
2023-10-04T11:47:13Z,@IntEntertainments,kok bisa ya,4,positive
2023-10-04T11:31:31Z,@indo631,saya termasuk tim yabg setuju tiktokshop ditutup kasian pedagang aslinya,-9,negative
2023-10-04T11:54:30Z,@naturaworld8322,dikira yang jualan ditiktok makhluk ghaib,-4,negative
2023-10-04T19:28:34Z,@mikiterbang1225,emang goib harga tidak ngotak,-2,negative
2023-10-05T00:56:40Z,@phuncek,pedagang aslinya maksutnya yang gimana bang,-5,negative
2023-10-04T11:14:03Z,@rapiudinaye1768,pasar makin sepi,-1,negative
2023-10-04T11:07:16Z,@dayatsyarif4144,tiktok ngerusak harga,3,positive
2023-10-04T10:36:29Z,@nayadibachannel,jadi sedih,-4,negative
2023-10-04T10:28:07Z,@rahasiakanaku4065,ketika sudah menjadi habit lalu pemerintah maunya tiktok diregulasi baru juga mulai lagi kerja gegara covid kemarin eh mau nganggur lagi aja negara indonesia kebanyakan bercanda,0,neutral
2023-10-04T11:22:48Z,@rra2931,pasti kamu warga tiktok ini udah termasuk masalah ekonomi kritis kalau barang yang dijual barang lokal gamasalah ini barang impor yang harganya murah kalau tidak ditutup produk indonesia bakal tidak ada terus kalau udah tidak ada produk lokal harga di tiktok bakal dinaikkan drastis karena tidak ada kompetitor,-17,negative
2023-10-05T00:56:05Z,@phuncek,yang diubah itu harusnya aturan jual barang import tidak resminya dan buat program majuin produk lokal bukan ditutup aplikasinya,-8,negative
2023-10-04T10:25:52Z,@ramlanwijaya2909,ya yg udh beli ruko sewa toko lbh sedih,1,positive
2023-10-05T00:20:27Z,@phuncek,kalau sudah bisa beli sewa ruko pasti sudah mikir resikonya,12,positive
2023-10-05T10:43:33Z,@putraborneo591,padahal tiktokshop itu sangat memantu para umkm orang orang pasar saja masih primitiv tidak mengikuti perkembangan zaman aneh juga menteri indo ini,1,positive
2023-10-04T22:48:34Z,@user-np6mm3jj6l,uuuuuuurrrrrraaaaaaaa,0,neutral
2023-10-04T11:10:30Z,@RedmiTapin-uj9ow,tidak ada lagi yang murah di pasar jualan mahal terlalu tinggi mencari untung beli murah jualan mahal kalau di pasar pasar,2,positive
2023-10-04T05:05:07Z,@user-nt3fw7yz2o,bodoh tidak sekalian penggunaan henpon di larang sekalian jangan sok berpengusa,-10,negative
2023-10-03T14:19:58Z,@user-mw1dr8ex1p,serius nanya umkm itu pendagang offline aja ya terus yang jualan online itu tidak termasuk umkm,-17,negative
2023-10-03T05:10:58Z,@maurazahra-rv3mf,saya s tingal di pelosok mencari kerja di negara ini sangat susah banyak persaingan dan orang dalam pernah kepikiran juga buat merantau ke luar negeri tapi masih saja di persulit dalam hal administrasi seperti ktp kk paspor dan sebagainya kalau ada uang baru semuanya lancar saya berusaha bisnis baju secara offline tapi tidak ada yang beli soal nya saya hidup di pelosok jadi daya beli masyarakat nya rendah tapi setelah adanya tiktokshop dan sejenianya saya mulai mencoba berjualan online dan hasilnya lumayan karna jangkauan promosin barang saya lebih luas dan alhamdulillah setiap hari ada aja yang beli dan mendengar kebijakan dari pemerintah akan menutup tiktokshop saya merasa sangat kecewa dan bingung mau jualan dimana sedangkan pelanggan saya mengenal saya dari tiktok semua dan yang buat saya lebih marah lagi itu menteri ngeluarin kebijakan cuma karena tanah abang sepi anjing tapi dia tidak melihat kami yang ada di pelosok negeri selalu umkm yang sudah berhasil memasarkan produknya secara online saya juga bingung kalian pelaku umkm yang andai di ibu kota teruntuk umkm yang ada di tanah abang seharusnya lebih pintar untuk memanfaatkan media sosial dari pada kami yang dari pelosok kalau begini jadinya yang kurang pendidikan kami orang kampung yang penuh keterbatasan atau kalian orang kota yang penuh dengan pasilitas mikir dan untuk pak menterinya saya curiga dia gotot memperjuangkan pelaku umkm tanah abang untuk menarik suara buat partainya saja mungkinnnnn,-76,negative
2023-09-29T11:02:59Z,@lancup4069,alhamdulilah,3,positive
2023-09-29T06:37:01Z,@user-wv3nt3zt6v,keranjang kuning kok masih ada ya,4,positive
2023-09-27T19:47:31Z,@Desong581,saya setuju tiktokshop ditutup karena banyak artis yang ikutan jualan kasihan pedagang kecil kalah saing,0,neutral
2023-09-27T12:08:26Z,@sungaikaras5338,sebagai pembeli didengar juga tidak keluhannya pak yang offline suka pasang harga seenak jidatnya yang online ongkir malah lebih murah,-6,negative
2023-09-27T06:35:44Z,@MATTADUNIA,efek samping orderannya banyak lalu di posting,5,positive
2023-09-27T06:33:22Z,@MATTADUNIA,coba pinjol itu dihapus,0,neutral
2023-09-27T05:32:40Z,@shintarahmawati5091,kalau aku sii bukan gamau beli di toko tapi memang di online shop itu lebih murah dan harga nya jauh beda dengan beli toko padahal kadang sama aja barang nya memang mereka juga ingin mendapatkan untung tapi jauh bgt untung nya smpe kalau di online shop walupun pake ongkir tetap murah beda harga nya kalo di toko belum lagi nanti si penjual bilang segitu karyawan ngarah untung lagi di tambahin lagi harga nya menjerit banget jadi nya,14,positive
2023-09-27T23:32:15Z,@user-xl7nn7mk1r,iya tapi umkm dalam negeri hancur,3,positive
2023-09-26T23:05:03Z,@heria99,wah gue dah pasive income dih tiktok kok mala ditutup memanglah baru beberapa hari ini turun drastis pendapatan affiliasi saya dari ratusan sekarang ratusan rabu hari moga batal dah,-11,negative
2023-09-26T16:22:16Z,@engkoskosasih3870,jabatan hadiah tanpa pengetahuan ya jadi keblinger,13,positive
2023-09-26T16:21:02Z,@engkoskosasih3870,kumpulan bajingan asbun urusin harga tuh,3,positive
2023-09-26T16:09:09Z,@efendysinaga,tidak mampu bersaing akhirnya melarang,-6,negative
2023-09-26T14:53:45Z,@adyleo994,saya setuju tiktokshop di larang di tutup,-4,negative
2023-09-26T11:37:25Z,@jackkelvinchannel44,gampang pindah aja ke fb reel,6,positive
2023-09-26T11:21:28Z,@lordhanzo06,tiktok hapus pindah jualan ke shopee live mampus tidak dapet pajak lagi para koruptor,-10,negative
2023-09-26T11:14:59Z,@lordhanzo06,disaat negara maju mikir maju negara ini mikir mundur mending ngurusin pegawai pajak yang korupsi kenapa perpajakan tidak ada uangnya ya karena di korupsi,-5,negative
2023-09-26T10:03:13Z,@user-mq3bt5gt2w,bagus lanjutkan kalau perlu pasar bebas juga dihapuskan cuma satu pedagang kalau sudah jaya jangan semena mena menaikan harga seenak jidatnya sendiri perlu ada het jadi harga wajar dan bisa diterima semua pihak,5,positive
2023-09-26T08:42:18Z,@funnyvideos-zk3og,kenapa tidak coba tutup semua yang jualan online kita liat seberapa pengaruh nya terhadap umkm,-7,negative
2023-09-26T08:07:42Z,@ucingoren26,ya udah kalo kayak gituh ojol juga di hapus pak balik lagi ke setelan awal bukan kayak zaman sekarang yang udah serba online ini agar balik lagi seperti jaman dulu,-29,negative
2023-09-26T12:10:41Z,@bnrid8086,mereka itu orang yang nggak mau mengikuti perkembangan zaman,4,positive
2023-09-26T07:21:24Z,@hennynovi390,tiktok kamu salahin padahal aku saja jarang banget liat tiktok oon,-3,negative
2023-09-26T06:47:25Z,@criscash1104,aturan aneh aneh,8,positive
