,textDisplay,normalized_text,texttokens,Stemming,polarity_score,polarity
13,bangun aplikasi sendiri khususnya mengutamakan produk lokal,bangun aplikasi sendiri khususnya mengutamakan produk lokal,"['bangun', 'aplikasi', 'sendiri', 'khususnya', 'mengutamakan', 'produk', 'lokal']",bangun aplikasi sendiri khusus utama produk lokal,-4,negatif
14,pusing pusing dan yang orang okb yang baru mau kaya gara gara aplikasi tiktok waw di tutup yang ada cicilan mobil rumah pada puyeng semua,pusing pusing dan yang orang okb yang baru mau kayak gara gara aplikasi tiktok wow di tutup yang ada cicilan mobil rumah pada puyeng semua,"['pusing', 'pusing', 'dan', 'yang', 'orang', 'okb', 'yang', 'baru', 'mau', 'kayak', 'gara', 'gara', 'aplikasi', 'tiktok', 'wow', 'di', 'tutup', 'yang', 'ada', 'cicilan', 'mobil', 'rumah', 'pada', 'puyeng', 'semua']",pusing pusing dan yang orang okb yang baru mau kayak gara gara aplikasi tiktok wow di tutup yang ada cicil mobil rumah pada puyeng semua,-37,negatif
15,alhamdulillah kerja bagus buat pemerintah yang jual banyak flexing memamerkan orderan penghasilan udah mendingan balik ke mode awal joget joget,alhamdulillah kerja bagus buat pemerintah yang jual banyak flexing memamerkan orderan penghasilan sudah mendingan balik ke mode awal joget joget,"['alhamdulillah', 'kerja', 'bagus', 'buat', 'pemerintah', 'yang', 'jual', 'banyak', 'flexing', 'memamerkan', 'orderan', 'penghasilan', 'sudah', 'mendingan', 'balik', 'ke', 'mode', 'awal', 'joget', 'joget']",alhamdulillah kerja bagus buat perintah yang jual banyak flexing pamer order hasil sudah mending balik ke mode awal joget joget,13,positif
16,dimana keadilan ini,dimana keadilan ini,"['dimana', 'keadilan', 'ini']",mana adil ini,4,positif
17,alhamdulillah semoga umkm indonesia bisa jalan lagi terutama yang offline,alhamdulillah semoga umkm indonesia bisa jalan lagi terutama yang offline,"['alhamdulillah', 'semoga', 'umkm', 'indonesia', 'bisa', 'jalan', 'lagi', 'terutama', 'yang', 'offline']",alhamdulillah moga umkm indonesia bisa jalan lagi utama yang offline,-2,negatif
18,alhamdulillah puji tuhan,alhamdulillah puji tuhan,"['alhamdulillah', 'puji', 'tuhan']",alhamdulillah puji tuhan,12,positif
19,maaf di inggris sudah dilarang dan biasa saja,maaf di inggris sudah dilarang dan biasa saja,"['maaf', 'di', 'inggris', 'sudah', 'dilarang', 'dan', 'biasa', 'saja']",maaf di inggris sudah larang dan biasa saja,1,positif
20,terimakasih tiktok ditutup aku masih cinta indonesiaku,terimakasih tiktok ditutup aku masih cinta indonesiaku,"['terimakasih', 'tiktok', 'ditutup', 'aku', 'masih', 'cinta', 'indonesiaku']",terimakasih tiktok tutup aku masih cinta indonesia,8,positif
21,kami anak muda digitalisasi sanggup berkompetisi dengan kemajuan jaman kami bukan anak cengeng apapun kondisinya kami akan selalu fight meski banyak yang tidak suka dengan cara kami bekerja sama kaya dulu ojol di komplain sama opang see u di aplikasi lain nya see u para umkm offline sampai ketemu di titik takdir yang baik menurut tuhan,kami anak muda digitalisasi sanggup berkompetisi dengan kemajuan jaman kami bukan anak cengeng apapun kondisinya kami akan selalu fight meski banyak yang tidak suka dengan cara kami bekerja sama kayak dulu ojol di komplain sama opang sih lu di aplikasi lain nya sih lu para umkm offline sampai ketemu di titik takdir yang baik menurut tuhan,"['kami', 'anak', 'muda', 'digitalisasi', 'sanggup', 'berkompetisi', 'dengan', 'kemajuan', 'jaman', 'kami', 'bukan', 'anak', 'cengeng', 'apapun', 'kondisinya', 'kami', 'akan', 'selalu', 'fight', 'meski', 'banyak', 'yang', 'tidak', 'suka', 'dengan', 'cara', 'kami', 'bekerja', 'sama', 'kayak', 'dulu', 'ojol', 'di', 'komplain', 'sama', 'opang', 'sih', 'lu', 'di', 'aplikasi', 'lain', 'nya', 'sih', 'lu', 'para', 'umkm', 'offline', 'sampai', 'ketemu', 'di', 'titik', 'takdir', 'yang', 'baik', 'menurut', 'tuhan']",kami anak muda digitalisasi sanggup kompetisi dengan maju jaman kami bukan anak cengeng apa kondisi kami akan selalu fight meski banyak yang tidak suka dengan cara kami kerja sama kayak dulu ojol di komplain sama opang sih lu di aplikasi lain nya sih lu para umkm offline sampai ketemu di titik takdir yang baik turut tuhan,-27,negatif
22,kenapa harus di tutup tiktokshop warga seg dengan tiktokshop ada,kenapa harus di tutup tiktokshop warga seg dengan tiktokshop ada,"['kenapa', 'harus', 'di', 'tutup', 'tiktokshop', 'warga', 'seg', 'dengan', 'tiktokshop', 'ada']",kenapa harus di tutup tiktokshop warga seg dengan tiktokshop ada,-3,negatif
23,saya mah tutup apa tidak tidak ada ruginya buat saya ongkir mahal,saya mah tutup apa tidak tidak ada ruginya buat saya ongkir mahal,"['saya', 'mah', 'tutup', 'apa', 'tidak', 'tidak', 'ada', 'ruginya', 'buat', 'saya', 'ongkir', 'mahal']",saya mah tutup apa tidak tidak ada rugi buat saya ongkir mahal,-20,negatif
24,kan masih ada shopee wkwkwk,kan masih ada shopee wkwkwk,"['kan', 'masih', 'ada', 'shopee', 'wkwkwk']",kan masih ada shopee wkwkwk,7,positif
26,blokir saja tiktoknya sekalian tonto merusak moral anak,blokir saja tiktoknya sekalian tonto merusak moral anak,"['blokir', 'saja', 'tiktoknya', 'sekalian', 'tonto', 'merusak', 'moral', 'anak']",blokir saja tiktoknya sekali tonto rusak moral anak,-3,negatif
28,tutup tiktok tidak perlu lagi ada tiktok shop dan online shop lainnya harus diperhatikan harganya online harus bayar pajak yang tinggi harus ada ongkir dan produsen tidak boleh jualan di online diecer harga grosir gratis ongkir pula,tutup tiktok tidak perlu lagi ada tiktok shop dan online shop lainnya harus diperhatikan harganya online harus bayar pajak yang tinggi harus ada ongkir dan produsen tidak boleh jualan di online diecer harga grosir gratis ongkir pula,"['tutup', 'tiktok', 'tidak', 'perlu', 'lagi', 'ada', 'tiktok', 'shop', 'dan', 'online', 'shop', 'lainnya', 'harus', 'diperhatikan', 'harganya', 'online', 'harus', 'bayar', 'pajak', 'yang', 'tinggi', 'harus', 'ada', 'ongkir', 'dan', 'produsen', 'tidak', 'boleh', 'jualan', 'di', 'online', 'diecer', 'harga', 'grosir', 'gratis', 'ongkir', 'pula']",tutup tiktok tidak perlu lagi ada tiktok shop dan online shop lain harus perhati harga online harus bayar pajak yang tinggi harus ada ongkir dan produsen tidak boleh jual di online ecer harga grosir gratis ongkir pula,-17,negatif
29,saya sebagai pelaku umkm sangat setuju untuk menjaga harga agar tetep stabil alangkah bagusnya kalau online shope di kenai pajak tetapi sewajar nya saja untuk pajak nya jadi tidak saling memberatkan sebagai penjual online dan penjual offline,saya sebagai pelaku umkm sangat setuju untuk menjaga harga agar tetap stabil alangkah bagusnya kalau online shope di kenai pajak tetapi sewajar nya saja untuk pajak nya jadi tidak saling memberatkan sebagai penjual online dan penjual offline,"['saya', 'sebagai', 'pelaku', 'umkm', 'sangat', 'setuju', 'untuk', 'menjaga', 'harga', 'agar', 'tetap', 'stabil', 'alangkah', 'bagusnya', 'kalau', 'online', 'shope', 'di', 'kenai', 'pajak', 'tetapi', 'sewajar', 'nya', 'saja', 'untuk', 'pajak', 'nya', 'jadi', 'tidak', 'saling', 'memberatkan', 'sebagai', 'penjual', 'online', 'dan', 'penjual', 'offline']",saya bagai laku umkm sangat tuju untuk jaga harga agar tetap stabil alangkah bagus kalau online shope di kena pajak tetapi wajar nya saja untuk pajak nya jadi tidak saling berat bagai jual online dan jual offline,5,positif
30,ini zaman modern apa harus papua datang ke jakarta belanja kenapa online ditutup semua,ini zaman modern apa harus papua datang ke jakarta belanja kenapa online ditutup semua,"['ini', 'zaman', 'modern', 'apa', 'harus', 'papua', 'datang', 'ke', 'jakarta', 'belanja', 'kenapa', 'online', 'ditutup', 'semua']",ini zaman modern apa harus papua datang ke jakarta belanja kenapa online tutup semua,-12,negatif
31,kasihan pedagang yang sudah sewa toko sepi gara tiktok harga murah bikin hancur umkm barang cina banjir konveksi banyak yang gulung tikar ingat pertukaran uang tidak merata parahnya lagi produsen ikut jualan di online,kasihan pedagang yang sudah sewa toko sepi gara tiktok harga murah bikin hancur umkm barang cina banjir konveksi banyak yang gulung tikar ingat pertukaran uang tidak merata parahnya lagi produsen ikut jualan di online,"['kasihan', 'pedagang', 'yang', 'sudah', 'sewa', 'toko', 'sepi', 'gara', 'tiktok', 'harga', 'murah', 'bikin', 'hancur', 'umkm', 'barang', 'cina', 'banjir', 'konveksi', 'banyak', 'yang', 'gulung', 'tikar', 'ingat', 'pertukaran', 'uang', 'tidak', 'merata', 'parahnya', 'lagi', 'produsen', 'ikut', 'jualan', 'di', 'online']",kasihan dagang yang sudah sewa toko sepi gara tiktok harga murah bikin hancur umkm barang cina banjir konveksi banyak yang gulung tikar ingat tukar uang tidak rata parah lagi produsen ikut jual di online,-5,negatif
32,mereka beli di alibaba kali bukan dari orang indonesia langsung dari website orang luar alibaba,mereka beli di alibaba kali bukan dari orang indonesia langsung dari website orang luar alibaba,"['mereka', 'beli', 'di', 'alibaba', 'kali', 'bukan', 'dari', 'orang', 'indonesia', 'langsung', 'dari', 'website', 'orang', 'luar', 'alibaba']",mereka beli di alibaba kali bukan dari orang indonesia langsung dari website orang luar alibaba,-4,negatif
33,dampaknya bukan hanya seller juga tetapi kurir yang sudah bekerjasama dengan tiktok juga terdampak tanah abang cuma ribuan orang tiktok jutaaan orang yang terdampak,dampaknya bukan hanya seller juga tetapi kurir yang sudah bekerjasama dengan tiktok juga terdampak tanah abang cuma ribuan orang tiktok jutaaan orang yang terdampak,"['dampaknya', 'bukan', 'hanya', 'seller', 'juga', 'tetapi', 'kurir', 'yang', 'sudah', 'bekerjasama', 'dengan', 'tiktok', 'juga', 'terdampak', 'tanah', 'abang', 'cuma', 'ribuan', 'orang', 'tiktok', 'jutaaan', 'orang', 'yang', 'terdampak']",dampak bukan hanya seller juga tetapi kurir yang sudah bekerjasama dengan tiktok juga dampak tanah abang cuma ribu orang tiktok jutaaan orang yang dampak,-25,negatif
34,inilah ciri manusia tidak tau apa ekonomi indonesia hanya mikir kan ekonomi perut nya sendiri fikir,inilah ciri manusia tidak tau apa ekonomi indonesia hanya mikir kan ekonomi perut nya sendiri fikir,"['inilah', 'ciri', 'manusia', 'tidak', 'tau', 'apa', 'ekonomi', 'indonesia', 'hanya', 'mikir', 'kan', 'ekonomi', 'perut', 'nya', 'sendiri', 'fikir']",ini ciri manusia tidak tau apa ekonomi indonesia hanya mikir kan ekonomi perut nya sendiri fikir,-10,negatif
35,ini fair menurutku karena kalau ada di ecommerce yang resmi jelas mereka yang buka ecommerce tersebut adalah orang yang benar akan membeli sesuatu kalau di tiktok kan tidak awalnya cuma sekedar nonton saja karena pas geser ada yang jualan jadi belanja deh,ini fair menurutku karena kalau ada di ecommerce yang resmi jelas mereka yang buka ecommerce tersebut adalah orang yang benar akan membeli sesuatu kalau di tiktok kan tidak awalnya cuma sekedar menonton saja karena pas geser ada yang jualan jadi belanja deh,"['ini', 'fair', 'menurutku', 'karena', 'kalau', 'ada', 'di', 'ecommerce', 'yang', 'resmi', 'jelas', 'mereka', 'yang', 'buka', 'ecommerce', 'tersebut', 'adalah', 'orang', 'yang', 'benar', 'akan', 'membeli', 'sesuatu', 'kalau', 'di', 'tiktok', 'kan', 'tidak', 'awalnya', 'cuma', 'sekedar', 'menonton', 'saja', 'karena', 'pas', 'geser', 'ada', 'yang', 'jualan', 'jadi', 'belanja', 'deh']",ini fair turut karena kalau ada di ecommerce yang resmi jelas mereka yang buka ecommerce sebut adalah orang yang benar akan beli sesuatu kalau di tiktok kan tidak awal cuma dar tonton saja karena pas geser ada yang jual jadi belanja deh,-15,negatif
36,jujur untuk emak kayak aku kecewa banget tiktokshop ditutup karena tidak perlu rempong panas dan bawa anak ke pasar buat belanja dan tentunya belanja di offline jauh besar ongkosnya tetapi gapapa masih ada shopee dan lazada intinya malsa banget belanja kudu nyamperin toko,jujur untuk emak kayak aku kecewa banget tiktokshop ditutup karena tidak perlu repot panas dan bawa anak ke pasar buat belanja dan tentunya belanja di offline jauh besar ongkosnya tetapi gapapa masih ada shopee dan lazada intinya malsa banget belanja kudu nyamperin toko,"['jujur', 'untuk', 'emak', 'kayak', 'aku', 'kecewa', 'banget', 'tiktokshop', 'ditutup', 'karena', 'tidak', 'perlu', 'repot', 'panas', 'dan', 'bawa', 'anak', 'ke', 'pasar', 'buat', 'belanja', 'dan', 'tentunya', 'belanja', 'di', 'offline', 'jauh', 'besar', 'ongkosnya', 'tetapi', 'gapapa', 'masih', 'ada', 'shopee', 'dan', 'lazada', 'intinya', 'malsa', 'banget', 'belanja', 'kudu', 'nyamperin', 'toko']",jujur untuk emak kayak aku kecewa banget tiktokshop tutup karena tidak perlu repot panas dan bawa anak ke pasar buat belanja dan tentu belanja di offline jauh besar ongkos tetapi gapapa masih ada shopee dan lazada inti malsa banget belanja kudu nyamperin toko,2,positif
37,ngelive kaum milenial masa tidak bisa bedain mana yang legal mana yang illegal pindah aja ke platform yang sudah resmi kayak mau kiamat aja,ngelive kaum milenial masa tidak bisa membedakan mana yang legal mana yang illegal pindah saja ke platform yang sudah resmi kayak mau kiamat saja,"['ngelive', 'kaum', 'milenial', 'masa', 'tidak', 'bisa', 'membedakan', 'mana', 'yang', 'legal', 'mana', 'yang', 'illegal', 'pindah', 'saja', 'ke', 'platform', 'yang', 'sudah', 'resmi', 'kayak', 'mau', 'kiamat', 'saja']",ngelive kaum milenial masa tidak bisa beda mana yang legal mana yang illegal pindah saja ke platform yang sudah resmi kayak mau kiamat saja,-23,negatif
38,tiktokshop pedagangnya hanya anak muda sedangkan di pasar jarang anak mudanya anak mudanya kerjanya pengen enak cuma duduk dan ngomong sedangkan ibu ibu bapak bapak di pasar harus bersabar nunggu pembeli bagus tiktokshop di hapus kasihan ibu ibu dan bapak bapak di pasar,tiktokshop pedagangnya hanya anak muda sedangkan di pasar jarang anak mudanya anak mudanya kerjanya pengin enak cuma duduk dan mengomong sedangkan ibu ibu bapak bapak di pasar harus bersabar menunggu pembeli bagus tiktokshop di hapus kasihan ibu ibu dan bapak bapak di pasar,"['tiktokshop', 'pedagangnya', 'hanya', 'anak', 'muda', 'sedangkan', 'di', 'pasar', 'jarang', 'anak', 'mudanya', 'anak', 'mudanya', 'kerjanya', 'pengin', 'enak', 'cuma', 'duduk', 'dan', 'mengomong', 'sedangkan', 'ibu', 'ibu', 'bapak', 'bapak', 'di', 'pasar', 'harus', 'bersabar', 'menunggu', 'pembeli', 'bagus', 'tiktokshop', 'di', 'hapus', 'kasihan', 'ibu', 'ibu', 'dan', 'bapak', 'bapak', 'di', 'pasar']",tiktokshop dagang hanya anak muda sedang di pasar jarang anak muda anak muda kerja pengin enak cuma duduk dan omong sedang ibu ibu bapak bapak di pasar harus sabar tunggu beli bagus tiktokshop di hapus kasihan ibu ibu dan bapak bapak di pasar,-12,negatif
39,mantap setuju banget ditutup biar indonesia tidak di jajah terus,mantap setuju banget ditutup biar indonesia tidak di jajah terus,"['mantap', 'setuju', 'banget', 'ditutup', 'biar', 'indonesia', 'tidak', 'di', 'jajah', 'terus']",mantap tuju banget tutup biar indonesia tidak di jajah terus,-2,negatif
41,tinggalnya satu kolam masalahnya,tinggalnya satu kolam masalahnya,"['tinggalnya', 'satu', 'kolam', 'masalahnya']",tinggal satu kolam masalah,-3,negatif
42,artis tajir melintir ikut ikutan sih jadi ya titokshop dapat imbas ya,artis tajir melintir ikut ikutan sih jadi ya titokshop dapat imbas ya,"['artis', 'tajir', 'melintir', 'ikut', 'ikutan', 'sih', 'jadi', 'ya', 'titokshop', 'dapat', 'imbas', 'ya']",artis tajir melintir ikut ikut sih jadi ya titokshop dapat imbas ya,3,positif
43,saya bodo amat karna saya dari dulu tidak maen tiktok,saya bodo amat karena saya dari dulu tidak main tiktok,"['saya', 'bodo', 'amat', 'karena', 'saya', 'dari', 'dulu', 'tidak', 'main', 'tiktok']",saya bodo amat karena saya dari dulu tidak main tiktok,-16,negatif
44,aku sebagai petani aku setuju jual online di tutup jualan nya tidak sehat dia jual barang terlalu murah harga tidak masuk akal monopoli,aku sebagai petani aku setuju jual online di tutup jualan nya tidak sehat dia jual barang terlalu murah harga tidak masuk akal monopoli,"['aku', 'sebagai', 'petani', 'aku', 'setuju', 'jual', 'online', 'di', 'tutup', 'jualan', 'nya', 'tidak', 'sehat', 'dia', 'jual', 'barang', 'terlalu', 'murah', 'harga', 'tidak', 'masuk', 'akal', 'monopoli']",aku bagai tani aku tuju jual online di tutup jual nya tidak sehat dia jual barang terlalu murah harga tidak masuk akal monopoli,2,positif
45,lebay ah,lebay ah,"['lebay', 'ah']",lebay ah,-4,negatif
46,bye bye yuk pindah lapak,bye bye yuk pindah lapak,"['bye', 'bye', 'yuk', 'pindah', 'lapak']",bye bye yuk pindah lapak,-1,negatif
47,nah itu masih banyak lapak si oren juga ada live nya,nah itu masih banyak lapak sih oren juga ada live nya,"['nah', 'itu', 'masih', 'banyak', 'lapak', 'sih', 'oren', 'juga', 'ada', 'live', 'nya']",nah itu masih banyak lapak sih oren juga ada live nya,8,positif
48,kamu suruh orang bayangin coba kamu bayangin yang di pasar yang jadi korban,kamu suruh orang bayangkan coba kamu bayangkan yang di pasar yang jadi korban,"['kamu', 'suruh', 'orang', 'bayangkan', 'coba', 'kamu', 'bayangkan', 'yang', 'di', 'pasar', 'yang', 'jadi', 'korban']",kamu suruh orang bayang coba kamu bayang yang di pasar yang jadi korban,-9,negatif
49,saya heran kenapa bingung wadah buat jualan banyak sopee lazada dll,saya heran kenapa bingung wadah buat jualan banyak sopee lazada dll,"['saya', 'heran', 'kenapa', 'bingung', 'wadah', 'buat', 'jualan', 'banyak', 'sopee', 'lazada', 'dll']",saya heran kenapa bingung wadah buat jual banyak sopee lazada dll,6,positif
50,saya tidak pernah beli lewat tiktok,saya tidak pernah beli lewat tiktok,"['saya', 'tidak', 'pernah', 'beli', 'lewat', 'tiktok']",saya tidak pernah beli lewat tiktok,-4,negatif
51,kenapa harus jualan di tiktok kan ada marketplace lainnya kalo produk kamu sudah terkenal dan harga bisa bersaing kenapa takut ya tidak konsumen pasti nyari kemanapun kamu pindah,kenapa harus jualan di tiktok kan ada marketplace lainnya kalo produk kamu sudah terkenal dan harga bisa bersaing kenapa takut ya tidak konsumen pasti mencari kemanapun kamu pindah,"['kenapa', 'harus', 'jualan', 'di', 'tiktok', 'kan', 'ada', 'marketplace', 'lainnya', 'kalo', 'produk', 'kamu', 'sudah', 'terkenal', 'dan', 'harga', 'bisa', 'bersaing', 'kenapa', 'takut', 'ya', 'tidak', 'konsumen', 'pasti', 'mencari', 'kemanapun', 'kamu', 'pindah']",kenapa harus jual di tiktok kan ada marketplace lain kalo produk kamu sudah kenal dan harga bisa saing kenapa takut ya tidak konsumen pasti cari mana kamu pindah,9,positif
52,cari yang lain ecommersnya,cari yang lain ecommersnya,"['cari', 'yang', 'lain', 'ecommersnya']",cari yang lain ecommersnya,-12,negatif
53,tiktokshop hanya menggiur barang viral dan gratis ongkir seperti sambel coklat chrunci baso aci,tiktokshop hanya menggiur barang viral dan gratis ongkir seperti sambel coklat chrunci baso aci,"['tiktokshop', 'hanya', 'menggiur', 'barang', 'viral', 'dan', 'gratis', 'ongkir', 'seperti', 'sambel', 'coklat', 'chrunci', 'baso', 'aci']",tiktokshop hanya giur barang viral dan gratis ongkir seperti sambel coklat chrunci baso aci,-2,negatif
54,bagus lah kalau di tutup wkwkwkwk,bagus lah kalau di tutup wkwkwkwk,"['bagus', 'lah', 'kalau', 'di', 'tutup', 'wkwkwkwk']",bagus lah kalau di tutup wkwkwkwk,-1,negatif
55,ya kamu jualan lah di pasar tanah abang ngapain sampe perusahaan sampe buruh kejauhan gaes ngomongnya,ya kamu jualan lah di pasar tanah abang mengapai sampai perusahaan sampai buruh kejauhan gaes mengomongnya,"['ya', 'kamu', 'jualan', 'lah', 'di', 'pasar', 'tanah', 'abang', 'mengapai', 'sampai', 'perusahaan', 'sampai', 'buruh', 'kejauhan', 'gaes', 'mengomongnya']",ya kamu jual lah di pasar tanah abang kapai sampai usaha sampai buruh jauh gaes omong,2,positif
56,hanya gara pasar tiktok yang mengayomi warga banyak bisa di tutup,hanya gara pasar tiktok yang mengayomi warga banyak bisa di tutup,"['hanya', 'gara', 'pasar', 'tiktok', 'yang', 'mengayomi', 'warga', 'banyak', 'bisa', 'di', 'tutup']",hanya gara pasar tiktok yang ayom warga banyak bisa di tutup,-11,negatif
58,bagus deh tiktok shop di tutup meresahkan aja,bagus deh tiktok shop di tutup meresahkan saja,"['bagus', 'deh', 'tiktok', 'shop', 'di', 'tutup', 'meresahkan', 'saja']",bagus deh tiktok shop di tutup resah saja,-8,negatif
59,setelah saya tau tiktokshop di larang saya semakin malas beli produk umkm,setelah saya tau tiktokshop di larang saya semakin malas beli produk umkm,"['setelah', 'saya', 'tau', 'tiktokshop', 'di', 'larang', 'saya', 'semakin', 'malas', 'beli', 'produk', 'umkm']",telah saya tau tiktokshop di larang saya makin malas beli produk umkm,-10,negatif
60,saya malah semakin cinta umkm,saya malah semakin cinta umkm,"['saya', 'malah', 'semakin', 'cinta', 'umkm']",saya malah makin cinta umkm,2,positif
