"Median_House_Value","Median_Income","Median_Age","Tot_Rooms","Tot_Bedrooms","Population","Households","Latitude","Longitude","Distance_to_coast","Distance_to_LA","Distance_to_SanDiego","Distance_to_SanJose","Distance_to_SanFrancisco"
"155500","2.1202","52","1228","293","648","303","37.85","-122.27","7016.6772439486","556363.88915713","735236.53424147","66154.050138904","16499.762203124"
"158700","1.9911","50","2239","455","990","419","37.84","-122.26","6363.9480126177","554949.74951857","733820.82441922","64751.463862914","16744.406583507"
"162900","2.6033","52","1503","298","690","275","37.84","-122.27","5976.288058276","555535.93144786","734392.51495391","65195.936185723","15959.483657221"
"147500","1.3578","40","751","184","409","166","37.85","-122.27","7016.6772439486","556363.88915713","735236.53424147","66154.050138904","16499.762203124"
"159800","1.7135","42","1639","367","929","366","37.85","-122.27","7016.6772439486","556363.88915713","735236.53424147","66154.050138904","16499.762203124"
"113900","1.725","52","2436","541","1015","478","37.84","-122.27","5976.288058276","555535.93144786","734392.51495391","65195.936185723","15959.483657221"
"99700","2.1806","52","1688","337","853","325","37.84","-122.27","5976.288058276","555535.93144786","734392.51495391","65195.936185723","15959.483657221"
"132600","2.6","52","2224","437","1006","422","37.84","-122.27","5976.288058276","555535.93144786","734392.51495391","65195.936185723","15959.483657221"
"107500","2.4038","41","535","123","317","119","37.85","-122.28","6781.8631745087","556949.95789606","735808.16677532","66600.75903878","15751.793974503"
"93800","2.4597","49","1130","244","607","239","37.85","-122.28","6781.8631745087","556949.95789606","735808.16677532","66600.75903878","15751.793974503"
"105500","1.808","52","1898","421","1102","397","37.85","-122.28","6781.8631745087","556949.95789606","735808.16677532","66600.75903878","15751.793974503"
"108900","1.6424","50","2082","492","1131","473","37.84","-122.28","5698.7269031744","556122.95006322","734964.8786014","65649.225900402","15184.818393621"
"132000","1.6875","52","729","160","395","155","37.84","-122.28","5698.7269031744","556122.95006322","734964.8786014","65649.225900402","15184.818393621"
"122300","1.9274","49","1916","447","863","378","37.84","-122.28","5698.7269031744","556122.95006322","734964.8786014","65649.225900402","15184.818393621"
"115200","1.9615","52","2153","481","1168","441","37.84","-122.28","5698.7269031744","556122.95006322","734964.8786014","65649.225900402","15184.818393621"
"110400","1.7969","48","1922","409","1026","335","37.84","-122.27","5976.288058276","555535.93144786","734392.51495391","65195.936185723","15959.483657221"
"104900","1.375","49","1655","366","754","329","37.83","-122.27","4967.0051944368","554708.96438173","733549.20691652","64242.779207233","15480.34052311"
"109700","2.7303","51","2665","574","1258","536","37.83","-122.27","4967.0051944368","554708.96438173","733549.20691652","64242.779207233","15480.34052311"
"97200","1.4861","49","1215","282","570","264","37.83","-122.27","4967.0051944368","554708.96438173","733549.20691652","64242.779207233","15480.34052311"
"104500","1.0972","48","1798","432","987","374","37.83","-122.27","4967.0051944368","554708.96438173","733549.20691652","64242.779207233","15480.34052311"
"103900","1.4103","52","1511","390","901","403","37.83","-122.28","4629.2732494794","555296.934643","734122.3027904","64702.808723221","14680.301925728"
"191400","3.48","52","1470","330","689","309","37.83","-122.26","5427.3017456453","554121.83023129","732976.78393276","63791.604910201","16288.476117313"
"176000","2.5898","52","2432","715","1377","696","37.83","-122.26","5427.3017456453","554121.83023129","732976.78393276","63791.604910201","16288.476117313"
"155400","2.0978","52","1665","419","946","395","37.83","-122.26","5427.3017456453","554121.83023129","732976.78393276","63791.604910201","16288.476117313"
"150000","1.2852","51","936","311","517","249","37.83","-122.26","5427.3017456453","554121.83023129","732976.78393276","63791.604910201","16288.476117313"
"118800","1.025","49","713","202","462","189","37.84","-122.26","6363.9480126177","554949.74951857","733820.82441922","64751.463862914","16744.406583507"
"188800","3.9643","52","950","202","467","198","37.84","-122.26","6363.9480126177","554949.74951857","733820.82441922","64751.463862914","16744.406583507"
"184400","3.0125","52","1443","311","660","292","37.83","-122.26","5427.3017456453","554121.83023129","732976.78393276","63791.604910201","16288.476117313"
"182300","2.6768","52","1656","420","718","382","37.83","-122.26","5427.3017456453","554121.83023129","732976.78393276","63791.604910201","16288.476117313"
"142500","2.026","50","1125","322","616","304","37.83","-122.26","5427.3017456453","554121.83023129","732976.78393276","63791.604910201","16288.476117313"
"137500","1.7348","43","1007","312","558","253","37.82","-122.27","4012.3714289613","553882.99239594","732706.61258518","63294.803145202","15068.165949398"
"187500","0.9506","40","624","195","423","160","37.82","-122.26","4569.9273854591","553294.90424649","732133.45603542","62836.760599294","15897.377593609"
"112500","1.775","40","946","375","700","352","37.82","-122.27","4012.3714289613","553882.99239594","732706.61258518","63294.803145202","15068.165949398"
"171900","0.9218","21","896","453","735","438","37.82","-122.27","4012.3714289613","553882.99239594","732706.61258518","63294.803145202","15068.165949398"
"93800","1.5045","43","1868","456","1061","407","37.82","-122.27","4012.3714289613","553882.99239594","732706.61258518","63294.803145202","15068.165949398"
"97500","1.1108","41","3221","853","1959","720","37.82","-122.27","4012.3714289613","553882.99239594","732706.61258518","63294.803145202","15068.165949398"
"104200","1.2475","52","1630","456","1162","400","37.82","-122.27","4012.3714289613","553882.99239594","732706.61258518","63294.803145202","15068.165949398"
"87500","1.6098","52","1170","235","701","233","37.82","-122.28","3585.7656953424","554471.91607071","733280.44179797","63761.7353167","14244.882532512"
"83100","1.4113","52","945","243","576","220","37.82","-122.28","3585.7656953424","554471.91607071","733280.44179797","63761.7353167","14244.882532512"
"87500","1.5057","52","1238","288","622","259","37.82","-122.28","3585.7656953424","554471.91607071","733280.44179797","63761.7353167","14244.882532512"
"85300","0.8172","52","1489","335","728","244","37.82","-122.28","3585.7656953424","554471.91607071","733280.44179797","63761.7353167","14244.882532512"
"80300","1.2171","52","1387","341","1074","304","37.82","-122.28","3585.7656953424","554471.91607071","733280.44179797","63761.7353167","14244.882532512"
"60000","2.5625","2","158","43","94","57","37.82","-122.29","3340.6600783853","555061.67260512","733854.94209","64237.363256611","13428.617743061"
"75700","3.3929","52","1121","211","554","187","37.83","-122.29","4442.1498090159","555885.73835582","734696.0699739","65171.505932885","13889.759546432"
"75000","6.1183","49","135","29","86","23","37.82","-122.29","3340.6600783853","555061.67260512","733854.94209","64237.363256611","13428.617743061"
"86100","0.9011","50","760","190","377","122","37.81","-122.29","2249.4859256174","554238.60991397","733014.53259741","63308.967201263","13046.186719922"
"76100","1.191","52","1224","237","521","159","37.81","-122.3","2214.9860559149","554830.15061818","733590.43636629","63800.210534151","12212.914361684"
"73500","2.5938","48","828","182","392","133","37.81","-122.3","2214.9860559149","554830.15061818","733590.43636629","63800.210534151","12212.914361684"
"78400","1.1667","52","1010","209","604","187","37.81","-122.3","2214.9860559149","554830.15061818","733590.43636629","63800.210534151","12212.914361684"
"84400","0.8056","48","1455","354","788","332","37.81","-122.3","2214.9860559149","554830.15061818","733590.43636629","63800.210534151","12212.914361684"
"81300","2.6094","52","1027","244","492","147","37.8","-122.29","1197.1743550709","553416.55475779","732174.84396992","62386.574319691","12749.551387524"
"85000","1.8516","52","572","109","274","82","37.81","-122.3","2214.9860559149","554830.15061818","733590.43636629","63800.210534151","12212.914361684"
"129200","0.9802","46","2801","644","1823","611","37.81","-122.29","2249.4859256174","554238.60991397","733014.53259741","63308.967201263","13046.186719922"
"82500","1.7719","26","768","152","392","127","37.81","-122.29","2249.4859256174","554238.60991397","733014.53259741","63308.967201263","13046.186719922"
"95200","0.7286","46","935","297","582","277","37.81","-122.29","2249.4859256174","554238.60991397","733014.53259741","63308.967201263","13046.186719922"
"75000","1.75","49","844","204","560","152","37.81","-122.29","2249.4859256174","554238.60991397","733014.53259741","63308.967201263","13046.186719922"
"67500","0.4999","46","12","4","18","7","37.81","-122.29","2249.4859256174","554238.60991397","733014.53259741","63308.967201263","13046.186719922"
"137500","2.483","20","835","161","290","133","37.81","-122.29","2249.4859256174","554238.60991397","733014.53259741","63308.967201263","13046.186719922"
"177500","0.9241","17","1237","462","762","439","37.81","-122.28","2599.6389610115","553647.89880272","732439.29808899","62826.245814083","13885.062147891"
"102100","2.4464","36","2914","562","1236","509","37.81","-122.28","2599.6389610115","553647.89880272","732439.29808899","62826.245814083","13885.062147891"
"108300","1.1111","19","1207","243","721","207","37.81","-122.28","2599.6389610115","553647.89880272","732439.29808899","62826.245814083","13885.062147891"
"112500","0.8026","23","1745","374","1054","325","37.81","-122.29","2249.4859256174","554238.60991397","733014.53259741","63308.967201263","13046.186719922"
"131300","2.0114","38","684","176","344","155","37.8","-122.28","1769.5739983081","552824.88731658","731598.87413753","61896.593397032","13606.839533402"
"162500","1.5","17","924","289","609","289","37.81","-122.28","2599.6389610115","553647.89880272","732439.29808899","62826.245814083","13885.062147891"
"112500","1.1667","52","210","56","183","56","37.81","-122.27","3162.2730120344","553058.01994887","731864.734425","62352.244305194","14728.58328919"
"112500","1.5208","52","340","97","200","87","37.81","-122.28","2599.6389610115","553647.89880272","732439.29808899","62826.245814083","13885.062147891"
"137500","0.8075","52","386","164","346","155","37.81","-122.28","2599.6389610115","553647.89880272","732439.29808899","62826.245814083","13885.062147891"
"118800","1.8088","35","948","184","467","169","37.81","-122.28","2599.6389610115","553647.89880272","732439.29808899","62826.245814083","13885.062147891"
"98200","2.4083","52","773","143","377","115","37.81","-122.28","2599.6389610115","553647.89880272","732439.29808899","62826.245814083","13885.062147891"
"118800","0.977","40","880","451","582","380","37.81","-122.27","3162.2730120344","553058.01994887","731864.734425","62352.244305194","14728.58328919"
"162500","0.76","10","875","348","546","330","37.81","-122.27","3162.2730120344","553058.01994887","731864.734425","62352.244305194","14728.58328919"
"137500","0.9722","10","105","42","125","39","37.8","-122.27","2524.6146156692","552234.05152012","731023.57491033","61415.352106647","14466.70538151"
"500001","1.2434","52","249","78","396","85","37.8","-122.27","2524.6146156692","552234.05152012","731023.57491033","61415.352106647","14466.70538151"
"162500","2.0938","16","994","392","800","362","37.8","-122.27","2524.6146156692","552234.05152012","731023.57491033","61415.352106647","14466.70538151"
"137500","0.8668","52","215","87","904","88","37.8","-122.28","1769.5739983081","552824.88731658","731598.87413753","61896.593397032","13606.839533402"
"162500","0.75","52","96","31","191","34","37.8","-122.28","1769.5739983081","552824.88731658","731598.87413753","61896.593397032","13606.839533402"
"187500","2.6354","27","1055","347","718","302","37.79","-122.27","2284.7865434163","551411.0916106","730183.13652482","60484.389875872","14286.805862231"
"179200","1.8477","39","1715","623","1327","467","37.8","-122.27","2524.6146156692","552234.05152012","731023.57491033","61415.352106647","14466.70538151"
"130000","2.0096","36","5329","2477","3469","2323","37.8","-122.26","3340.6716189762","551644.05004683","730448.94787868","60943.057493826","15328.715139569"
"183800","2.8345","31","4596","1331","2048","1180","37.82","-122.26","4569.9273854591","553294.90424649","732133.45603542","62836.760599294","15897.377593609"
"125000","2.0062","29","335","107","202","91","37.81","-122.26","3845.2217774209","552468.97602447","731290.84319253","61887.163040261","15575.995384642"
"170000","1.2185","22","3682","1270","2024","1250","37.82","-122.26","4569.9273854591","553294.90424649","732133.45603542","62836.760599294","15897.377593609"
"193100","2.6104","37","3633","1085","1838","980","37.82","-122.26","4569.9273854591","553294.90424649","732133.45603542","62836.760599294","15897.377593609"
"257800","2.4912","29","4656","1414","2304","1250","37.81","-122.25","4595.1498797728","551880.76970918","730717.62598178","61431.20462418","16426.696262621"
"273400","3.2177","28","5806","1603","2563","1497","37.81","-122.25","4595.1498797728","551880.76970918","730717.62598178","61431.20462418","16426.696262621"
"237500","3.125","39","854","242","389","228","37.81","-122.25","4595.1498797728","551880.76970918","730717.62598178","61431.20462418","16426.696262621"
"350000","2.5795","52","2155","701","895","613","37.81","-122.25","4595.1498797728","551880.76970918","730717.62598178","61431.20462418","16426.696262621"
"335700","2.8406","34","5871","1914","2689","1789","37.81","-122.26","3845.2217774209","552468.97602447","731290.84319253","61887.163040261","15575.995384642"
"313400","4.9306","52","1509","225","674","244","37.82","-122.24","5923.3072356236","552121.24522402","730989.16727565","61948.129338583","17570.222519828"
"268500","3.2727","52","2026","482","709","456","37.81","-122.24","5384.1421071774","551293.40369029","730145.08438608","60984.573686706","17280.200202579"
"259400","3.1691","52","1758","460","686","422","37.81","-122.25","4595.1498797728","551880.76970918","730717.62598178","61431.20462418","16426.696262621"
"275700","3.9","52","3481","751","1444","718","37.82","-122.24","5923.3072356236","552121.24522402","730989.16727565","61948.129338583","17570.222519828"
"225000","3.9063","28","3337","855","1520","802","37.82","-122.25","5216.6129854913","552707.6542956","731560.97373558","62387.803483699","16731.6360795"
"262500","5.0917","52","1424","289","550","253","37.82","-122.25","5216.6129854913","552707.6542956","731560.97373558","62387.803483699","16731.6360795"
"218500","2.6429","32","3809","1098","1806","1022","37.82","-122.25","5216.6129854913","552707.6542956","731560.97373558","62387.803483699","16731.6360795"
"255000","3.0233","26","3959","1196","1749","1217","37.82","-122.25","5216.6129854913","552707.6542956","731560.97373558","62387.803483699","16731.6360795"
"224100","3.1484","52","2376","559","939","519","37.83","-122.25","5981.9362813174","553535.53485847","732405.03542269","63349.475037901","17103.560999838"
"243100","3.4722","35","1613","428","675","422","37.83","-122.25","5981.9362813174","553535.53485847","732405.03542269","63349.475037901","17103.560999838"
"231600","3.1429","52","1279","287","534","291","37.83","-122.25","5981.9362813174","553535.53485847","732405.03542269","63349.475037901","17103.560999838"
"218500","2.4234","28","5022","1750","2558","1661","37.83","-122.25","5981.9362813174","553535.53485847","732405.03542269","63349.475037901","17103.560999838"
"234100","3.0897","52","4190","1105","1786","1037","37.83","-122.25","5981.9362813174","553535.53485847","732405.03542269","63349.475037901","17103.560999838"
"327600","5.8596","50","2515","399","970","373","37.84","-122.23","8006.9337455887","553196.25048723","732109.80730981","63472.785280782","19148.028465561"
"347600","5.2868","47","3175","454","1098","485","37.84","-122.23","8006.9337455887","553196.25048723","732109.80730981","63472.785280782","19148.028465561"
"366100","5.956","41","2576","406","794","376","37.83","-122.24","6607.1940213289","552950.08093752","731833.96297297","62916.5802677","17924.647175125"
"335000","4.9643","37","334","54","98","47","37.85","-122.24","8259.0851093229","554610.71706938","733525.68293736","64867.289833485","18811.487449688"
"373600","6.3434","52","2800","411","1061","403","37.85","-122.23","8810.4982854766","554028.01328707","732956.7532017","64456.75041659","19600.225965373"
"389500","5.1773","52","3529","574","1177","555","37.84","-122.24","7395.7635788311","553779.90636682","732679.46901233","63889.703864126","18339.740726372"
"391100","7.2354","52","2612","365","901","367","37.85","-122.24","8259.0851093229","554610.71706938","733525.68293736","64867.289833485","18811.487449688"
"337300","5.457","28","5287","1048","2031","956","37.85","-122.22","9411.7133642204","553446.15741525","732388.50312307","64055.699156377","20396.300387924"
"295200","7.5","50","2935","473","1031","479","37.84","-122.22","8664.1757534493","552613.44197946","731540.82505942","63065.421815083","19962.252410857"
"292300","6.0194","44","3424","597","1358","597","37.84","-122.21","9357.7870904273","552031.48353349","730972.52385363","62667.799807173","20781.714826659"
"411500","7.5544","40","4991","674","1616","654","37.83","-122.21","8748.1613890564","551198.79474073","730124.81789842","61675.230525511","20416.647676964"
"311500","6.0666","30","2211","346","844","343","37.84","-122.2","10080.262947581","551450.37784672","730404.90528793","62280.105842397","21605.819660478"
"325900","7.0548","34","3038","490","1140","496","37.84","-122.21","9357.7870904273","552031.48353349","730972.52385363","62667.799807173","20781.714826659"
"392600","11.6017","18","1617","210","533","194","37.84","-122.19","10825.825922933","550870.12762399","729837.97096086","61902.526462722","22434.05529788"
"319300","7.4882","35","2865","460","1072","443","37.84","-122.2","10080.262947581","551450.37784672","730404.90528793","62280.105842397","21605.819660478"
"333300","6.8976","34","5065","788","1627","766","37.83","-122.21","8748.1613890564","551198.79474073","730124.81789842","61675.230525511","20416.647676964"
"335200","8.2049","28","1326","184","463","190","37.83","-122.19","10303.62415687","550035.52723373","728988.79737716","60897.379544214","22096.523346469"
"351200","8.401","26","1589","223","542","211","37.83","-122.2","9517.1294347625","550616.73351952","729556.46561798","61281.204044797","21255.023116457"
"368900","6.8538","29","1791","271","661","269","37.83","-122.19","10303.62415687","550035.52723373","728988.79737716","60897.379544214","22096.523346469"
"365900","8.317","32","1835","264","635","263","37.82","-122.19","9879.4582441999","549201.90741145","728140.32844066","59896.007684809","21810.518198839"
"366700","7.0175","37","1229","181","420","176","37.82","-122.2","9056.084427659","549784.07161063","728708.73174302","60286.260474538","20957.419357132"
"362800","6.3302","39","3770","534","1265","500","37.82","-122.2","9056.084427659","549784.07161063","728708.73174302","60286.260474538","20957.419357132"
"483300","6.3624","30","292","38","126","52","37.81","-122.18","9430.448165193","547787.0052475","726724.11234623","58512.315518201","22442.111869149"
"331400","7.0549","52","2375","333","813","350","37.82","-122.21","8244.1092502942","550367.09020622","729277.81888159","60686.80115537","20106.521038049"
"323500","6.7851","45","2964","436","1067","426","37.81","-122.2","8713.3482967782","548952.39659053","727861.70612919","59295.474382213","20715.301071667"
"216700","2.8929","50","2833","605","1260","552","37.8","-122.21","7632.4268854804","548706.65180943","727585.9515367","58723.197476336","19661.03059376"
"233100","3.0812","38","2254","535","951","487","37.8","-122.21","7632.4268854804","548706.65180943","727585.9515367","58723.197476336","19661.03059376"
"296400","5.2402","52","1389","212","510","224","37.81","-122.21","7865.952463319","549536.37439889","728431.5292692","59702.717316395","19853.90966035"
"273700","6.5217","52","1971","335","765","308","37.81","-122.22","7026.2286623532","550121.20332884","729002.03442868","60120.121455701","18994.104578664"
"227700","3.2632","52","2183","465","1129","460","37.8","-122.22","6763.6475365436","549292.44122214","728157.19362506","59147.5715447","18792.282509012"
"199600","3.0298","52","2286","464","1073","441","37.8","-122.22","6763.6475365436","549292.44122214","728157.19362506","59147.5715447","18792.282509012"
"239800","4.5428","52","2721","541","1185","515","37.8","-122.22","6763.6475365436","549292.44122214","728157.19362506","59147.5715447","18792.282509012"
"270100","4.072","52","2024","339","756","340","37.81","-122.22","7026.2286623532","550121.20332884","729002.03442868","60120.121455701","18994.104578664"
"302100","5.3509","52","2944","536","1034","521","37.81","-122.22","7026.2286623532","550121.20332884","729002.03442868","60120.121455701","18994.104578664"
"269500","3.1603","52","2033","486","787","459","37.8","-122.23","5897.7992904625","549879.07846517","728729.11590793","59581.961218213","17924.511119415"
"314700","4.7708","52","1433","229","612","213","37.81","-122.23","6197.2963351424","550706.88066268","729573.22000186","60547.476646888","18136.111454878"
"390100","8.1564","52","2927","402","1021","380","37.81","-122.22","7026.2286623532","550121.20332884","729002.03442868","60120.121455701","18994.104578664"
"410300","8.8793","52","2315","292","861","258","37.81","-122.23","6197.2963351424","550706.88066268","729573.22000186","60547.476646888","18136.111454878"
"352400","6.8591","52","2485","313","953","327","37.81","-122.24","5384.1421071774","551293.40369029","730145.08438608","60984.573686706","17280.200202579"
"287300","6.0302","52","1490","238","634","256","37.81","-122.24","5384.1421071774","551293.40369029","730145.08438608","60984.573686706","17280.200202579"
"348700","7.508","52","2814","365","878","352","37.81","-122.23","6197.2963351424","550706.88066268","729573.22000186","60547.476646888","18136.111454878"
"243800","2.7477","52","2093","550","918","483","37.81","-122.24","5384.1421071774","551293.40369029","730145.08438608","60984.573686706","17280.200202579"
"211500","2.1944","52","888","168","360","175","37.8","-122.24","5036.3941171791","550466.56082175","729301.71677925","60026.149053395","17057.865496233"
"218400","3.0149","52","2087","510","1197","488","37.8","-122.25","4182.1783564641","551054.88558279","729874.9946361","60479.919161233","16192.526408745"
"269900","3.675","52","2513","502","1048","518","37.81","-122.24","5384.1421071774","551293.40369029","730145.08438608","60984.573686706","17280.200202579"
"218800","3.225","46","3232","835","1373","747","37.81","-122.25","4595.1498797728","551880.76970918","730717.62598178","61431.20462418","16426.696262621"
"225000","2.9345","42","4120","1065","1715","1015","37.8","-122.25","4182.1783564641","551054.88558279","729874.9946361","60479.919161233","16192.526408745"
"250000","2.1429","43","2364","792","1359","722","37.8","-122.25","4182.1783564641","551054.88558279","729874.9946361","60479.919161233","16192.526408745"
"171400","1.6121","41","1471","469","1062","413","37.8","-122.25","4182.1783564641","551054.88558279","729874.9946361","60479.919161233","16192.526408745"
"193800","1.3929","29","2468","864","1335","773","37.8","-122.25","4182.1783564641","551054.88558279","729874.9946361","60479.919161233","16192.526408745"
"125000","2.3173","27","1632","492","1171","429","37.79","-122.24","4920.8136550188","549640.72112542","728459.06693956","59073.105181998","16905.889155419"
"97500","1.7772","45","1786","526","1475","460","37.79","-122.25","4042.1146945014","550230.00642144","729033.08218271","59534.201800604","16032.227857578"
"125000","2.6458","50","629","188","742","196","37.79","-122.25","4042.1146945014","550230.00642144","729033.08218271","59534.201800604","16032.227857578"
"138800","2.181","52","1339","391","1086","363","37.79","-122.25","4042.1146945014","550230.00642144","729033.08218271","59534.201800604","16032.227857578"
"116700","2.2303","36","1678","606","1645","543","37.8","-122.25","4182.1783564641","551054.88558279","729874.9946361","60479.919161233","16192.526408745"
"151800","1.6504","43","2344","647","1710","644","37.8","-122.25","4182.1783564641","551054.88558279","729874.9946361","60479.919161233","16192.526408745"
"127000","2.2697","52","996","228","731","228","37.8","-122.24","5036.3941171791","550466.56082175","729301.71677925","60026.149053395","17057.865496233"
"128600","2.1563","52","1591","373","1118","347","37.8","-122.24","5036.3941171791","550466.56082175","729301.71677925","60026.149053395","17057.865496233"
"140600","2.1348","52","1586","398","1006","335","37.8","-122.24","5036.3941171791","550466.56082175","729301.71677925","60026.149053395","17057.865496233"
"182700","2.6292","47","2046","588","1213","554","37.8","-122.24","5036.3941171791","550466.56082175","729301.71677925","60026.149053395","17057.865496233"
"146900","2.3833","52","1192","289","772","257","37.8","-122.23","5897.7992904625","549879.07846517","728729.11590793","59581.961218213","17924.511119415"
"122800","2.957","52","1803","420","1321","401","37.8","-122.24","5036.3941171791","550466.56082175","729301.71677925","60026.149053395","17057.865496233"
"169300","2.5238","49","2838","749","1487","677","37.8","-122.24","5036.3941171791","550466.56082175","729301.71677925","60026.149053395","17057.865496233"
"126600","1.9375","52","783","184","488","186","37.8","-122.23","5897.7992904625","549879.07846517","728729.11590793","59581.961218213","17924.511119415"
"127900","1.9028","51","1590","414","949","392","37.8","-122.23","5897.7992904625","549879.07846517","728729.11590793","59581.961218213","17924.511119415"
"123500","2.25","50","1746","480","1149","415","37.8","-122.23","5897.7992904625","549879.07846517","728729.11590793","59581.961218213","17924.511119415"
"111900","2.3929","52","1252","299","844","280","37.8","-122.23","5897.7992904625","549879.07846517","728729.11590793","59581.961218213","17924.511119415"
"112800","2.1917","43","5963","1344","4367","1231","37.79","-122.23","5799.5217677735","549052.27763647","727885.7284515","58621.635265738","17780.059477454"
"107900","2.9357","52","1783","395","1659","412","37.79","-122.23","5799.5217677735","549052.27763647","727885.7284515","58621.635265738","17780.059477454"
"137500","1.8854","30","999","264","1011","263","37.79","-122.23","5799.5217677735","549052.27763647","727885.7284515","58621.635265738","17780.059477454"
"105500","2.1638","39","1469","431","1464","389","37.79","-122.24","4920.8136550188","549640.72112542","728459.06693956","59073.105181998","16905.889155419"
"95500","2.125","47","1372","395","1237","303","37.79","-122.24","4920.8136550188","549640.72112542","728459.06693956","59073.105181998","16905.889155419"
"116100","3.375","52","674","180","647","168","37.79","-122.24","4920.8136550188","549640.72112542","728459.06693956","59073.105181998","16905.889155419"
"112200","2.2542","43","1626","376","1284","357","37.79","-122.24","4920.8136550188","549640.72112542","728459.06693956","59073.105181998","16905.889155419"
"75000","2.1","51","175","43","228","55","37.79","-122.25","4042.1146945014","550230.00642144","729033.08218271","59534.201800604","16032.227857578"
"112500","1.6","39","461","129","381","123","37.79","-122.25","4042.1146945014","550230.00642144","729033.08218271","59534.201800604","16032.227857578"
"125000","3.625","52","902","237","846","227","37.79","-122.25","4042.1146945014","550230.00642144","729033.08218271","59534.201800604","16032.227857578"
"115000","1.6929","20","2373","779","1659","676","37.8","-122.26","3340.6716189762","551644.05004683","730448.94787868","60943.057493826","15328.715139569"
"95000","1.6471","52","391","128","520","138","37.77","-122.22","4226.2776992412","546812.17038332","725626.97422077","56260.918400124","18577.099703338"
"96400","2.59","52","1137","301","866","259","37.77","-122.22","4226.2776992412","546812.17038332","725626.97422077","56260.918400124","18577.099703338"
"72000","2.57","52","769","206","612","183","37.77","-122.23","4276.7966160791","547401.69822981","726201.11343656","56717.604775084","17698.415615017"
"71300","2.6429","52","472","146","415","126","37.78","-122.23","5377.3719516157","548226.4827072","727043.06012657","57666.758051473","17704.400220258"
"80800","3.0257","52","862","215","994","213","37.78","-122.23","5377.3719516157","548226.4827072","727043.06012657","57666.758051473","17704.400220258"
"128800","1.4886","50","1920","530","1525","477","37.78","-122.22","5337.285928459","547637.92020588","726469.66102218","57217.70868642","18582.685333928"
"112500","1.9338","43","1420","472","1506","438","37.78","-122.23","5377.3719516157","548226.4827072","727043.06012657","57666.758051473","17704.400220258"
"119400","1.4844","52","986","258","1008","255","37.78","-122.23","5377.3719516157","548226.4827072","727043.06012657","57666.758051473","17704.400220258"
"118100","1.6009","44","2340","825","2813","751","37.78","-122.23","5377.3719516157","548226.4827072","727043.06012657","57666.758051473","17704.400220258"
"122500","2.0375","48","1696","396","1481","343","37.79","-122.23","5799.5217677735","549052.27763647","727885.7284515","58621.635265738","17780.059477454"
"106300","2.293","49","1175","217","859","219","37.79","-122.23","5799.5217677735","549052.27763647","727885.7284515","58621.635265738","17780.059477454"
"132500","2.1494","37","2343","574","1608","523","37.79","-122.22","6448.6185586284","548464.6786703","727313.06832483","58180.016163577","18654.667254873"
