"full_text","Label"
"#KamiUMKMdiTikTok  RESMI  PRESIEND TELAH MELARANG TIKTOKSHOP..   SANGSI UNTUK TIKTOK GK MAIN MAIN  JIKA MELANGGAR KEMUNGKINAN AKAN DIBLOKIR DI INDONESIA  DUKUNG TRUS USAHA PEMERINTAH. UNTUK MESTABILKAN EKONOMI NKR HRG MATI. https://t.co/qHLDO7QmCO","netral"
"#KamiUMKMdiTikTok  RESMI JIKA TIKTOK MELANGGAR  KEMUNGKINAN AKAN DI BENNED DI INDONESIA DUKUNG PEMERINTAH SEPENUH YA https://t.co/vIHCyu4BiW","positif"
"#KamiUMKMdiTikTok RESMI TIKTOKSHOP DILARANG ","netral"
"#KamiUMKMdiTikTok  Untuk umkm dimanapun berada  Dukung pemerintah sepenuh ya Untuk memberi sansi pada tiktok apa bila msih melanggar keputusan presiden indonesia ... https://t.co/hsob3iisP5","positif"
"#KamiUMKMdiTikTok  Kembalikan awal mula ya tiktok hanya sebagai media konten aj Atau sebagai iklan promo  Langkah tepat untuk pemerintah  Untuk mengemblikan tiktop sebagai media biasa..  Retwwet keras https://t.co/2RZ4qqPOLQ","positif"
"#KamiUMKMdiTikTok  Langkah tepat dan bijaksana dilakukan pemerintah  Demi mendukumg umkm offline Dan klo di tiktok Cuman kayain china aj . Pinter boleh  Bego jngn   Dukung pemerintah  Untuk stop transaksi ditiktop https://t.co/5iYl8IAXz2","positif"
"#KamiUMKMdiTikTok Udah jelas  Pemerintah  Membasmi tikthop shop langkah tepat  Retweet keras https://t.co/oNejcKahQh","positif"
"#KamiUMKMdiTikTok perhari ini uda ga bisa juala lagi ya tiktok shop? https://t.co/FgjXWnzEmw","netral"
"Berapa banyak umkm ditanah abang? Omset 20jt sehari apakah termasuk umkm. Brp banyak umkm di tiktok?  Yg lebih banyak yg mana? Hmm #KamiUMKMdiTikTok","netral"
"??‹????? Pemerintah Resmi Melarang TikTok Jualan, Hanya Boleh Promosi Seperti TV  https://t.co/ulOjEDfpRa lewat @YouTube   Kaesang Raffi #KamiUMKMdiTikTok Ayokk #AniesMuhaimin2024 PROUD OF REBECCA Ridwan Farida Nurhan SKCK Mutualan Makassar Indomie Ganjar https://t.co/meKgA5vXqO","netral"
"@AVAPandaImut Kok bisa ya #KamiUMKMdiTikTok","netral"
"@Kutipan_Anda Sangat bermanfaat  #KamiUMKMdiTikTok","positif"
"Saya salah satu yg terbantu dgn adanya tiktok shop, single mom yg berjuang sendiri untuk membiayai hidup dan anak2 #KamiUMKMdiTikTok","positif"
"#KamiUMKMdiTikTok Udah bagus banyak orang yang tadinya nggak tahu mau ngapain, akhirnya bisa punya penghasilan karena jualan di TikTok Shop. Terus dilarang gitu? ????","netral"
"banyak keuntungan berjualan di tiktokshop sih dan pemasarannya pun jauh lebih luas  https://t.co/99AY99AShh #KamiUMKMdiTikTok","positif"
"#KamiUMKMdiTikTok merasa aplikasi ini sangat membantu penjualan dengan cepat dan murah juga","positif"
"Kmrn liat umkm seneng banget padahal dagangannya laku pas live tiktokshop hiks #KamiUMKMdiTikTok","positif"
"banyak penjual yang bangga dan makin terkenal jualan di Tiktok Shop. mending Tiktok Shop dikaji dulu daripada langsung dilarang penggunanannya #KamiUMKMdiTikTok","positif"
"Padahal #KamiUMKMdiTikTok beneran merasa terbantu banget sekarang, bisa berjualan dengan mudah sehingga pendapatan juga naik drastis","positif"
"#KamiUMKMdiTikTokApa salah ya cari uang dengan memanfaatkan kemajuan teknologi? Kenapa ada yang merasa dirugikan dengan usaha kami jualan di olshop Tiktok?  #KamiUMKMdiTikTok cuman cari uang halal. Kami memanfaatkan teknologi yg telah disediakan paltform Tiktok. Masa gaboleh ?","netral"
"kasihan #KamiUMKMdiTikTok kalah sama artis yang memang banyak followernya. jadi mending artis mah jualan jasa ajalah endorse atau affiliator. tapi bisa jadi artis sepi job dan dia jualan produknya. akh gimana sih ?","netral"
"@Cicimeeli Jadi sipangsiur begini beritanya harus cepat2 klarifikasi biar nggak salah paham #KamiUMKMdiTikTok","netral"
"@luvmatchha Setuju, seharusnya tiktok shop ini menjadi ladang cuan para UMKM #KamiUMKMdiTikTok","positif"
"@ulannnuwwuu Bener bgt, sangat membantu untuk para UMKM #KamiUMKMdiTikTok","positif"
"banyak pedagang di tiktok yang makin terkenal kok, makin untung, kenapa malah dilarang? apakah pemerintah tidak mengkaji ulang terkait keputusan pelarangan tiktok shop? https://t.co/AZmBBspQuj  #KamiUMKMdiTikTok","negatif"
"@skintny Semoga tiktok shop ini tetap ada ya, ini bisa dijadikan sumber keuntungan untuk para UMKM.  #KamiUMKMdiTikTok","positif"
"PERUSAHAAN KECIL DI TIKTOK SHOP KENA GETAHNYA @jokowi #KamiUMKMdiTikTok","negatif"
"@urboyfrendl ayo uji publik aja biar bisa kita lihat untungnya luarbiasa #KamiUMKMdiTikTok","netral"
"@cimotyy Bener banget ini, mereka para UMKM sangat terbantu sekali dari hasil penjualan produk online tiktok shopnya #KamiUMKMdiTikTok","positif"
"@rifqahsania kalo penjual senang dgn tiktok shop sudah berarti ini menguntungkan #KamiUMKMdiTikTok","positif"
"Hastag ini sebenarnya ini mau bantu dan dukung hasil/produk dari UMKM lokal atau mau bantu dan dukung hasil/produk dari UMKM dari Tiongkok?secara 99% barang yg di jual di tiktok atau platform yg lain pasti made in China bukan made in Indonesia#KamiUMKMdiTikTok","netral"
"@kudila_ Bner bngt keuntungan nya bnyak banget yang bisa sidapet #KamiUMKMdiTikTok","positif"
"@rifqahsania ayo semua dukung umkm lokal #KamiUMKMdiTikTok","positif"
"@urboyfrendl tapi sejauh ini dilihat malah untung dari tiktok shop #KamiUMKMdiTikTok","positif"
"@lolipowpy #KamiUMKMdiTikTok luar biasa sekali","positif"
"@luvmatchha setuju banget karena dari tiktok shop bisa meraup untung jugakan #KamiUMKMdiTikTok","positif"
"@Kutipan_Anda Setuju sih. Jujur aja, #KamiUMKMdiTikTok merasa dirugikan dengan kebijakannya","negatif"
"wajib banget pemerintah bantu umkm lokal, setidak nya dengan klarifikasi #KamiUMKMdiTikTok https://t.co/tk1zinNb4u https://t.co/RqPmmfzxAn","netral"
"Kmrn liat umkm seneng banget padahal dagangannya laku pas live tiktokshop hiks #KamiUMKMdiTikTok   https://t.co/jAKrO2TRI7 https://t.co/v5w13Vw5AT","positif"
"@Kutipan_Anda #KamiUMKMdiTikTok itu lebih menguntungkan. Jadi klw bisa sih harus dikaji ulang daripada lgsg ditutup. Krn sama2 cari rejeki","positif"
"@Kutipan_Anda #KamiUMKMdiTikTok menuntut pemerintah untuk mengkaji ulang kebijakan di TikTok Shop","negatif"
"menurut ku tiktok bagus sekali dalam membantu umkm indonesia agar penjualan nya lebih meningkat   #KamiUMKMdiTikTok  https://t.co/RDWuRpqCPq https://t.co/Re8IEunRyD","positif"
"@Lisstiawa padahal tiktok sangat membantu umkm lokal #KamiUMKMdiTikTok","positif"
"@Kutipan_Anda Wah #KamiUMKMdiTikTok makin rame nih. Mestinya perlu ditinjau ulang","netral"
"padahal penjual senang ada di tiktok shop karena bisa makin terkenal dan rauf untung jugakan.  ini malah mau dibatasi, aneh ya.  #KamiUMKMdiTikTok  https://t.co/JUNmbOEZ0f https://t.co/zIBq7FCh2R","positif"
"Padahal sebagian umik ngerasa terbantu loh dengan dagang di Tiktokshop #KamiUMKMdiTikTok  https://t.co/D7vMbshNW0 https://t.co/v8FCRDrRAc","positif"
"mau gak mau masyarakat juga harus belajar menyesuaikan diri dgn teknologi. apalagi berkat tiktok shop berjualan lebih jauh mudah &amp  lebih efektif. orang-orang pun juga lebih aktif secara online karena pemasaran lebih menarik.   #KamiUMKMdiTikTok  https://t.co/ntEWFj4Opb https://t.co/8iWyGvJXmp","positif"
"@Jollie910 @Lisstiawa wahhh hebat sekali yaaa #KamiUMKMdiTikTok","positif"
"dengan tiktok justru umkm indonesia sangat terbantu sekali karena penjualannya bisa lebih meningkat  #KamiUMKMdiTikTok  https://t.co/Julu4vHnri https://t.co/FKSolOfaeD","positif"
"@kudila_ kalau bukan kita, siapa lagi yg dukung #KamiUMKMdiTikTok","positif"
"umkm di tiktok juga sedang mencari rezeki ??§????   #KamiUMKMdiTikTok https://t.co/BK0WIEDsCu","netral"
"jangan matikan umkm lokal dong, harusnya kita dukung terus mereka #KamiUMKMdiTikTok https://t.co/06uKmpeGwv https://t.co/6t2l2asVJP","positif"
"@Mahummah wahhh emang luar biasa yaaa #KamiUMKMdiTikTok","positif"
"tiktok sangat membantu umkm lokal menjadi lebih meningkat penjualannya sehingga baik untuk para umkm nya  #KamiUMKMdiTikTok https://t.co/MA7JwUygLZ https://t.co/3FIyu7tULH","positif"
"@dipanggilnyaana ayo dukung #KamiUMKMdiTikTok","positif"
"sekali dukung tetap dukung #KamiUMKMdiTikTok  agar pemerintah bisa tau kalau ini sangan membantu pengusaha umkm lokal https://t.co/EoxDfsqb7I https://t.co/C2F2dL5BCf","positif"
"semoga kebijakan ini bisa memberikan solusi untuk semuanya yg sama2 mencari rezeki  #KamiUMKMdiTikTok https://t.co/ObDjlvVuSR","netral"
"@ashifasalsaooh bener, jadi para warga net bisa ngeliat kalo produk nya sebagus itu ??? #KamiUMKMdiTikTok","positif"
"@Kutipan_Anda Cari solusi itu lbh baik drpd langsung menghentikan rejeki UMKM lainnya #KamiUMKMdiTikTok","netral"
"Padahal banyak juga UMKM yang besar di Tiktok Shop #KamiUMKMdiTikTok","netral"
"#KamiUMKMdiTikTok gerakan yang perlu di dukung, pemerintah bantu klarifikasi dongggg https://t.co/m2w6yioBF6 https://t.co/QmrX9vkGjv","netral"
"@kudila_ Nah iya padahal ini strategi pemasaran yg bagus #KamiUMKMdiTikTok seneng kalo banjir orderan","positif"
"dukung umkm tiktok karena dengan jualan secara live itu sangat efisien #KamiUMKMdiTikTok https://t.co/vCWikHiExC","positif"
"@Kutipan_Anda aku lebih sering belanja tiktok. karena lebih hemat #KamiUMKMdiTikTok","positif"
"baca sendiri deh ya ~  https://t.co/4ERogoRpvd #KamiUMKMdiTikTok","netral"
"Kalo langsung dilarang kasian sekali para UMKM.  #KamiUMKMdiTikTok https://t.co/omiaGJtp32 https://t.co/MzwkeqANu2","negatif"
"Kenapa ya Pak @Jokowi terkesan buru-buru untuk melarang TikTok Shop Indonesia?  Sebaiknya di kaji ulang dulu sebelum diputuskan.  Lalu bagaimana dengan Facebook Marketplace ? Apakah ikut di larang juga?  https://t.co/dM9TRYgplY  #KamiUMKMdiTikTok","negatif"
"@Kutipan_Anda Susah juga sih krn ada UMKM jd diuntungkan dgn jual di tiktok. Jd lbh baik cari solusi demi kesejahteraan bersama #KamiUMKMdiTikTok","positif"
"@AVAPandaImut bener, jualan nya juga bagus bagus banget pendapatan juga ngedukung umkm #KamiUMKMdiTikTok","positif"
"kalau bukan kita siapa lagi yang mau dukung  #KamiUMKMdiTikTok ayo pengusaha umkm lokal di online shop https://t.co/pPgmB7V95Y https://t.co/utU22wNHPF","positif"
"dengan adanya umkm di tiktok shop itu sangat membantu banget buat mereka yg tidak mampu sewa atau beli kios, jadi saran nih pemerintah jangan gegabah ambil keputusan #KamiUMKMdiTikTok https://t.co/76tN8HETeQ https://t.co/vMrKkCVgxR","positif"
"@Kutipan_Anda sebenarnya sayang banget tiktok  shop sampai dihapus.. setuju dikaji ulang #KamiUMKMdiTikTok","netral"
"pemerintah harusnya dukung seller produk lokal , ayo rame-rame dukung #KamiUMKMdiTikTok https://t.co/aCdhltHQOt https://t.co/dklktQqrtO","positif"
"@Kutipan_Anda Tdk semua merugikan ada juga penjual UMKM diuntungkan. Jd lbh baik dicari solusinya #KamiUMKMdiTikTok","positif"
"@TweetRAMALAN #KamiUMKMdiTikTok Semoga dipertahankan yang baik2 deh","netral"
"saya sih mendukung tiktok karena sangat mendukung umkm di indonesia agar dapat mendapatkan manfaat berjalan dari tiktok   #KamiUMKMdiTikTok https://t.co/ZjE7dfvkvq https://t.co/baleYmfzb5","positif"
"Sebenarnya banyak sekali produk UMKM lokal yang laris manis saat di jual di tiktok shop. #KamiUMKMdiTikTok  https://t.co/fzsAEV31EQ https://t.co/yGgG5QxLsg","positif"
"@TweetRAMALAN #KamiUMKMdiTikTok panjang umur hal baik","netral"
"@Kutipan_Anda semoga sebelum di larang, bisa dikaji dulu. kita ambil jalan tengah yang terbaik baik semua pihak ya  #KamiUMKMdiTikTok","netral"
"@kuahbasso tau tuh, pendapatan yg didapat gede ini mah apalagi promo promo nya itu loh ???? #KamiUMKMdiTikTok","netral"
"ayo dong pemerintah segera klarifikasi berita ini, hoax atau ngga #KamiUMKMdiTikTok https://t.co/3F5o7lWqhw https://t.co/ESFXlyJPel","netral"
"@cimotyy betull sekalii justru bagi umkm malah makin untung lohh #KamiUMKMdiTikTok","positif"
"Asli deh ini para UMKM yg jual di TikTok Shop banyak yg larizz merasa terbantu harapanku #KamiUMKMdiTikTok tolonglah jgn dilarang justru support biar makin eksis  https://t.co/NtUJ8vtSO7 https://t.co/rHAVHclLbx","positif"
"@TweetRAMALAN #KamiUMKMdiTikTok semoga dipertahankan hal baiknya","netral"
"@Kutipan_Anda Jangan langsung dilarang lbh baik di cari solusi yg baik #KamiUMKMdiTikTok","netral"
"@TweetRAMALAN wah mengejutkan banget sih ini #KamiUMKMdiTikTok","netral"
"@KarlMajkenWin Emang banget buat membantu #KamiUMKMdiTikTok","positif"
"@Kutipan_Anda lebih baik belajar beradaptasi dengan kemajuan teknologi, karena bisa menguntungkan #KamiUMKMdiTikTok","netral"
"@KarlMajkenWin Emng membantu banget loh #KamiUMKMdiTikTok","positif"
"Jujurly nih ya UMKM yg jual di TikTok Shop banyak yg larizz banget tuuu  #KamiUMKMdiTikTok plis jgn dilarang justru support biar makin tumbuhhh https://t.co/So93VgCrlU https://t.co/GDt7ZDZCq4","positif"
"#KamiUMKMdiTikTok heboh ini, pemerintah harus segera klarifikasi terkait monopoli usaha online shop https://t.co/51mfLqGFKp https://t.co/2vnCEQtI9z","netral"
"yakin Tiktok Shop masih mau dilarang? ???? #KamiUMKMdiTikTok  https://t.co/FN7OKigk2x","netral"
"@KarlMajkenWin Iyaa sangat terbantu loh #KamiUMKMdiTikTok","positif"
"Sebenarnya sebagian pedagang tanah abang itu hasil jualannya sangat terbantu berkat tiktok shop. #KamiUMKMdiTikTok https://t.co/4sLB0IuMQ7 https://t.co/P4cvt3WesF","netral"
"@emeliney31 Plis lah pemerintah jangan kayak gini, ga kasian apa ya ??§ #KamiUMKMdiTikTok","netral"
"Gue nihh yang paling depan kalo dukung umkm di tiktok karna  #KamiUMKMdiTikTok mendapatkan hasil dan duit dari sana guyss   https://t.co/yHBHMskDmo https://t.co/bnKGKvYTwi","positif"
"Pedagang tanah abang pun sangat terbantu jualannya berkat tiktokshop lohƒ?? #KamiUMKMdiTikTok https://t.co/mWngqEmdR3 https://t.co/UJSDUH2YKP","positif"
"@melissaskie71 Kasian yaa klo sampe di larang gtu, justru bnyk loh yg terbantu umkmnya sama tiktok shop #KamiUMKMdiTikTok","positif"
"@Kutipan_Anda kenapa di larang?, padahal byk umkm yang kebantu bgt berkat tiktokshop #KamiUMKMdiTikTok","positif"
"@Kutipan_Anda tergantung bisa atau tidak nya dalam pemanfaatan medsos seperti tik tok, jadi jangan cepat menyimpulkan ya #KamiUMKMdiTikTok","netral"
"@kudila_ pemerintah harus berpikir dua kali sih ini #KamiUMKMdiTikTok","netral"
"semangat ya para penjual produk lokal di tiktok, kita dukunag kalian #KamiUMKMdiTikTok https://t.co/ec8OruqTKo https://t.co/M0DQGWv9fQ","positif"
"Banyak banget umkm lokal yang terbantu dengan adanya tiktokshop ini loh #KamiUMKMdiTikTok https://t.co/OAwZzjExnA https://t.co/TZRCsA0TqD","positif"
"@emeliney31 Pemerintah harus ngertiin dong, justru dengan adanya tiktok shop bnyk bget yg terbantu umkmnya #KamiUMKMdiTikTok","positif"
"Masih mempertahankan mereka yg emang #KamiUMKMdiTikTok  https://t.co/yRzvI4mtkp https://t.co/x83rGyBOrq","netral"
"Semoga masih ada yaaa #KamiUMKMdiTikTok  https://t.co/cl8GWiCrGL https://t.co/IdnC8cpC1o","netral"
"Lagi rame nih semoga cepet selesai #KamiUMKMdiTikTok https://t.co/PoTAA6tC8w","netral"
"@TweetRAMALAN Kalau Belanja Di Tik Tok Murah Banget??ø  #KamiUMKMdiTikTok","positif"
"@satriarafisky Setuju banget, harus lebih bijak lagi si menurut gw #KamiUMKMdiTikTok","positif"
"@Kutipan_Anda mending dikaji dulu sih soalnya byk umkm yang jualannya laku berkat tiktokshop #KamiUMKMdiTikTok","netral"
"setauku yd di tiktok ga cuma artis, tp byk juga pedagang kecil yg jualan di sana. #KamiUMKMdiTikTok ingin tetap berjualan di ecommerce juga.  https://t.co/Z9PxSXFWlB https://t.co/D27QGJM1Jp","netral"
"Jujur #KamiUMKMdiTikTok kecewa jika mata pencaharian kami di hapus ??ý saja juga awalnya jualan di toko, namun kita juga harus maju, ga boleh gaptek. Coba deh simak brp keuntungan kalo jualan di Tiktok, yg blm jualan jga bisa belajar kok  https://t.co/YIZ3kLhJNh https://t.co/raeGkiqi9L","negatif"
