publishedAt,authorDisplayName,textDisplay,likeCount;
"2023-10-07T04:01:26Z,@bengkelaudiovisual4833,""GUE GAPTEK TIKTOK, BUKAN TIKTOKERS APA LAGI PDAGANG DI TIK TOK.";
"2023-10-07T03:41:49Z,@Saepulanwar-tz7pp,""Facebook marketplas tutup sekalian. <br>Shopie, bukalapak, lajada Dll pembelanjaan di online di tutup"",0";
2023-10-07T03:35:50Z,@mlipirchanel1324,Jgn Cuma TikTok Shop aja yg di tutup Yang Masih Belanja Berbau Online Semua harus di tutup... Lu Enak yang Ngerti Dan Bermodal Besar Bisa Berkecimpung di online bahkan sekarang Artis pun pada ikutan dagang yg Modal gede dan ada nama besar...Lu ga mikirin Bapak&quot;
2023-10-06T23:07:25Z,@blindspot423,Negara India nge banned tiktok karena berfikir sebagai negara maju yg gak mau terjajah ekonominya oleh asing lewat tiktok....<br>Karena negara itu tahu sekali ekosistem pasarnya akan hancur kalo tiktok merajalela.<br>Dan apakah kita tidak berfikir kesitu?,0;
"2023-10-06T18:54:05Z,@awithegamel8892,""Bagus lah, udah pernah hampir ketipu di tiktok shop, barang yg di tiktokshop nya masih di kemas, barang yg asli nya malah udah nyampe dulu&#39";
2023-10-06T14:54:11Z,@ibnusoleh240,bagus lah ini sudah tidak terkendali karna barang terlalu murah banyak perusahaan yg bakar uang,1;
"2023-10-06T14:19:09Z,@lanilani4979,""Nutup usaha orang bisa,,blokir judi online gak bisa,,tuh higgs domino island masih ada sampai sekarang mana yang katanya diblokir,semoga pejabat yang melindungi game itu cepat2 diblokir dari muka bumi ini sama tuhan"",1";
2023-10-06T14:05:46Z,@triyaniyani127,Dari dulu tek tok bermasalah,0;
2023-10-06T13:43:19Z,@sansanalghozali,Bener tutup secepat mungkin,0;
2023-10-06T11:11:23Z,@Dewicila,Tokopedia.shope hapus juga,0;
2023-10-06T07:09:24Z,@merahputih3515,Mana yg anti cina,0;
2023-10-06T06:12:48Z,@ineualvyan3264,Syukur di tutup habis gj orng ga pernah pesen paket tau tau ada pket datang ..,0;
2023-10-06T04:55:32Z,@danisupriadi2928,Jangan hanya tiktok om yg ditutup tuh alfamart indomart juga yg nyata2 mematikan warung kcil,1;
"2023-10-06T08:00:15Z,@mianhae-q,""lah apa hubungannya dah ? warung kecil masih tetep ada tuh yg beli, masih pada jalan aja tuh"",0";
2023-10-06T03:30:23Z,@notonogoro7938,Umkm jadi kembali lancar.kl bisa sakalian tutup shope dan lazada..,0;
2023-10-06T08:00:29Z,@mianhae-q,dih? ngapa ecommerce juga ditutup blok,0;
2023-10-06T00:44:45Z,@iyusyusup9995,Pijol juga harap di tutup,0;
2023-10-05T19:21:53Z,@erikperdana3644,Tik trôk di hapus<br>Tapi shoppe lazada tokopedia masih ada<br>Sama aja boong,0;
2023-10-06T08:01:54Z,@mianhae-q,lo paham ga sih anjir kenapa tiktokshop dihapus ? <br>kok nyamain sama ecommerce sih ?,0;
"2023-10-05T18:56:07Z,@Anastasia-iz2bw,""Simple saja sih, pedagang toko itu untungnya besar 3 kali lipat dan rumahnya saja mewah mewah, sedangkan pembeli kebanyakan dari kalangan kebawah, yang jelas sangat membantu tiktok shop, <br><br>Hp sudah canggih malah tidak di pakai untuk jualan payah 😅😅.<br><br>Jangan membodohin kalangan kebawah yang komen, gue tau elu itu tidak bisa gunain hp smarphone untuk jualan online, mangkanya belajar dari hp, kalau ngga tau tanya teman dan saudara yang bisa, dan belajar, masa masyarakat kita mau bodoh terus sih haduhhhhh"",0";
"2023-10-06T08:03:25Z,@mianhae-q,""eh bodoh, kau paham ga sih kenapa TIKTOKSHOP DITUTUP ?<br>paham gak ? sapa sih yg membodohin ? bukannya anda yg bodoh dengan statement sampah anda ini ?<br><br>kalo mau jualan yaudah ke platform yg bener, bukan di sosmed, masih banyak tempat, ada tokped, shopee, lazada, buka lapak, masih banyak"",0";
2023-10-05T18:51:34Z,@user-ym2ql1pv6p,KALAU BISA TIKTOK DI TUTUP JUGA KARNA SANGAT MEMBAHAYAKAN UNTUK NEGARA.CONTOH YA UNI EROPA LARANG MASUK TIKTOK KE NEGARA NYA TERNYATA INI LAH SALAH SATU ALASAN NYA LUAR BIASA UNI EROPA MEREKA BISA TAU ARAH KEMANA SEBENAR NYA TIKTOK INI,1;
2023-10-05T17:23:49Z,@rasyamotor1701,tapi si orens juga ada video nya..,0;
"2023-10-06T08:04:10Z,@mianhae-q,""tapi dia bukan sosmed, paham gak ?"",0";
2023-10-05T15:19:49Z,@Ilhamputra12345,Suruh itu orang live juga jangan tunggu pembeli saja,0;
2023-10-05T18:15:28Z,@hobibrowsing1168,Gampang ente ngomong... yang udik mana paham gini2an,0;
"2023-10-05T14:56:49Z,@aldiikmal8913,""wajar bila sebagian seller kecewa, tetapi kita harus menilik bahwa TT ini peruntukannya bukan untuk marketplace (pada awalnya), artinya tidak sesuai regulasi. bahkan harga product yang ditawarkan jauh lebih murah dibanding dimarketplace (terkesan memonopoli). klau mau kecewa tepatnya arahkan ke TT (mengapa tak membuat platform khusus marketplace dari awal). ";
"2023-10-07T04:52:11Z,@HendrikPurnomo-eu8rg,""Baca ampe Abis, penting utk anda ttg taktok bisnis=<br><br>Pertama,....... Kayaknya Ada oknum jahat yg Sebar hoax bhw pemerintah nutup tiktok bisnis. Mreka Sebar hoax tu utk mnghancurkan nama BAIK jokowi. Tjuan lain jg agr anak2 muda gen Z tdk memilih capres pilihan jokowi. Biadab mreka<br><br>Kdua,....... Gak da tiktok Bisnis ditutup. Dajjal Sebar hoax tiktok ditutup. Yg benar adlh tiktok Bisnis diatur agr usaha UMKM tdk bangkrut. Karena sjak Ada tiktok, pedagang2 UMKM yg tdk pakai tiktok sperti pedagang Kaki Lima jg jualan di pasar2 pd bangkrut alias tdk laku jualannya. <br><br>Ktiga ,...... Ingat, pedagang Kaki Lima jg punya anak n Istri yg butuh makan. Mreka jg ngontrak lapak2 dagangan. <br><br>Keempat........ Pemrintah Skrg mngatur cra Jual di tiktok agr pedagang Kaki Lima jg tdk bangkrut. Pham<br><br>Kelima,....... Brikut fakta, bukan hoax n bukan katanya bhw pemerintah TIDAK mnututup tiktok=<br><br><a href=""""https://www.facebook.com/100065367339652/posts/699861428869429/?mibextid=rS40aB7S9Ucbxw6v"""">https://www.facebook.com/100065367339652/posts/699861428869429/?mibextid=rS40aB7S9Ucbxw6v</a>"",0";
2023-10-05T12:51:00Z,@pejuangkoin630,Allhamdulilah tik tok shop di tutup.. <br>   Semoga tik tok nya juga di tutup,0;
"2023-10-06T08:04:42Z,@mianhae-q,""dih udah beda kalee, gini nih org ga paham apaapa ikutan komen"",0";
2023-10-05T12:40:00Z,@jbsislam,tergantung kepada masarakat nya masing .bli online enak gak lgi kluar rumah milih barang bisa sambil rebahan.klw lansungkan gak bisa.apa beda nya tiktok sama lazada shope kenapa tiktok aja yg ditutup.klw saya lihat ini bukan menguntung pasar tradisional .toko online yg laen,0;
2023-10-06T08:08:43Z,@mianhae-q,ga nyambung lo asli anjir,0;
2023-10-05T12:18:17Z,@sugiansyah305,pemerintah pimplan oren bisa jual beli..tiktok malah ngga bisa,0;
"2023-10-06T08:08:23Z,@mianhae-q,""LAH BEDA MAEMUNAHHH!";
"2023-10-07T02:53:22Z,@agustianadinugraha5861,""​@@mianhae-qketauan lo pasti orang jualan yg gak di tiktok shop..orang pintar gak ngomongin..wawasan orang rendah..keliatan sih bodoh nya kebanyakan omong, padahal lo sama sekali gak ngerti..cuma copy paste statemen orang"",0";
"2023-10-05T11:36:09Z,@ErandNatsa,""suatu kemunduran teknologi di indonesia, gmn mau maju ini indonesia diajak maju malah mundur... ga bakalan rame lg itu tanah abang, website 1688 bisa order lsg dr china harga pun murah, import pun masih gampang mau gelap mau resmi 😂😂"",0";
"2023-10-06T08:13:35Z,@mianhae-q,""lo paham ga sih dek kenapa tiktok shop ditutup ?";
"2023-10-05T10:59:38Z,@user-ni3qs5hb6l,""eh itu e-commerce yang lain juga sudah pada jadi social commerce, itu e-commerce yang bisa ngelive2 juga tolong ditutup. atau jangan2 tiktok lupa ngasih yang dibawah meja ya?"",0";
"2023-10-05T10:32:31Z,@4.7.1.1.1,""GA USAH BERLEBIHAN,KLO MSH REZEKI BISA JUALAN DI E-COMMERCE BANYAK KO ADA SI ORANGE,IJO,BIRU.<br>APALAGI BANYAK AVILIATOR UDH MERAUP KEUNTUNGAN YG FANTASTIS,RODA BERPUTAR ADA ATAS ADA BAWAH.<br>TETEP SEMANGATLAH MSH ADA CARA LAIN."",0";
2023-10-05T09:26:34Z,@danisafidly9009,Belanja ofline lebih mahal2 nga si?,0;
2023-10-04T10:09:56Z,@thomassanjaya3585,baru sekali gw bangga sama pemerintah indonesia dengan kebijakannya. yang ini bener2 pro pedagang biasa. penduduk kita banyak bro blom cocok klo dagang online gitu. banyak tenaga kerjanya soalnya,0;
"2023-10-04T11:05:57Z,@juanjuanh7955,""Dunia itu berkembang mas, klo nurutin yg terbelakang terus gimana berkembangnya"",4";
2023-10-04T14:04:10Z,@manusiabiasa8501,​@@juanjuanh7955betulll emang kita gk mau berkembang yaa hahaha,0;
2023-10-04T15:15:09Z,@robustta5898,tinggal tutup indomaret dan ojek online... kita kembali ke tahun 1980an,2;
"2023-10-04T18:45:38Z,@biemsmahardhika168,""​@@juanjuanh7955cba deh abang dari sudut pandang pedagang, barang yg kita jual harus bersaing sma harga modal kita,, apa ada untungnya bang?????"",0";
"2023-10-07T04:52:48Z,@HendrikPurnomo-eu8rg,""@@juanjuanh7955 <br>Baca ampe Abis, penting utk anda ttg taktok bisnis=<br><br>Pertama,....... Kayaknya Ada oknum jahat yg Sebar hoax bhw pemerintah nutup tiktok bisnis. Mreka Sebar hoax tu utk mnghancurkan nama BAIK jokowi. Tjuan lain jg agr anak2 muda gen Z tdk memilih capres pilihan jokowi. Biadab mreka<br><br>Kdua,....... Gak da tiktok Bisnis ditutup. Dajjal Sebar hoax tiktok ditutup. Yg benar adlh tiktok Bisnis diatur agr usaha UMKM tdk bangkrut. Karena sjak Ada tiktok, pedagang2 UMKM yg tdk pakai tiktok sperti pedagang Kaki Lima jg jualan di pasar2 pd bangkrut alias tdk laku jualannya. <br><br>Ktiga ,...... Ingat, pedagang Kaki Lima jg punya anak n Istri yg butuh makan. Mreka jg ngontrak lapak2 dagangan. <br><br>Keempat........ Pemrintah Skrg mngatur cra Jual di tiktok agr pedagang Kaki Lima jg tdk bangkrut. Pham<br><br>Kelima,....... Brikut fakta, bukan hoax n bukan katanya bhw pemerintah TIDAK mnututup tiktok=<br><br><a href=""""https://www.facebook.com/100065367339652/posts/699861428869429/?mibextid=rS40aB7S9Ucbxw6v"""">https://www.facebook.com/100065367339652/posts/699861428869429/?mibextid=rS40aB7S9Ucbxw6v</a>"",0";
2023-10-04T10:09:54Z,@user-we6eq9sz2r,Pindah aja ke trading saham 😂,0;
2023-10-04T09:59:12Z,@wnrsticker8924,Pesbuk ditutup ga kan ada marketplacenya?,0;
2023-10-04T09:11:22Z,@rianaadya242,Banggalah Tiktok tutup. Karena Indonesia bangkit lagi. Kalau Tiktok tetap berjalan Indonesia pasti hancur,2;
2023-10-04T13:43:30Z,@Justlikefact216,Hebat ya tiktok bisa hancurin Indonesia,0;
2023-10-04T14:07:08Z,@manusiabiasa8501,tiktok hebat dong kalo bisa ngancurin negara😂,0;
"2023-10-04T08:38:06Z,@robbiyusuf6006,""Ahh pedagang pasar aja gak mau berkembang,"",0";
"2023-10-04T07:55:36Z,@yubaik4588,""Bagi pedagang online khususnya tiktok shop jangan kawatir dan merasa tidak adil, justru ini adil bagi semua platform. Dan dagangan masih Bisa di alihkan ke e commerce lain, shope, tokped, lazada, atau main Iklan Sponsor di YT, IG dan FB, dan kemungkinan tiktok shop juga akan bikin aplikasi sendiri di luar tiktok sosmednya. Ini hanya mematuhi aturan kalau e commerce tidak boleh di gabung dengan sosmed dalam 1 aplikasi"",0";
2023-10-04T06:09:41Z,@simpelone7732,nitijen komenya pada lucu lucu<br>ngait2 kan dg toko offline <br>pdahal tdk ada <br>yg di lindungi dlm hal ini juga umkm online kalo kelasnya sudah umkm pastinya punya semua platfom ijo oren biru dll<br><br>kekhawatiran pemerintah itu <br>kalo kedepanya pembeli di giring untuk beli produk2 milik tiktok sendiri artinya impor dari cina<br><br>lewat data2 yg sudah di kumpulkan <br>nanti baru umkm bener2 KO<br>karena semua barang di drop dari cina<br>automatis uangnya larinya ke cina<br><br>harapan pemerintah kan uangnya muter di dalam negri,0;
2023-10-04T09:18:24Z,@fmnt3260,Betul bang!,0;
2023-10-04T11:15:56Z,@GelaGelo-ve7jo,tutup semua jualan online baru oke,0;
2023-10-04T04:50:40Z,@KojeBb-jm6iq,Alhamdulillah<br>Ttup aplikasi sialan. Yang mengundurkan ekonomi Indonesia....pnjual opline harus bayar kios bayar kariwan ......di tiktok harga ga masuk aka sebagai pikiran warass dimna logika dagsngnya,2;
2023-10-05T03:19:48Z,@dekadeki2828,Bener bro. izinnya social media. Isi nya kali lima.....,0;
2023-10-04T03:59:46Z,@bapaksuparto2023,Aku tidak senang beli apa apa lewat online mending beli langsung lihat barang sama jalan jalan lihat situasi,1;
2023-10-04T10:11:15Z,@jossbuzz3032,Enak beli online anjir udah gk kepanasan dipasar gk bayar parkir murah lagi tinggal rebahan barang udah datang,0;
2023-10-04T10:18:26Z,@arisandika3717,​@@jossbuzz3032wah baru di balas 6 menit lalu hihi... aku setuju sih,0;
"2023-10-04T12:24:16Z,@Alterham,""Lu kira di semua pasar barang lengkap?KOCAK,lu kaga liat orang yang di desa² harus pergi ke kota untuk beli barang itu itupun kalo barangnya ada"",0";
"2023-10-05T18:21:51Z,@hobibrowsing1168,""Ya iyalah situ khan boomer, dari dulu beli apa2 lgsg ke tempat, wajar... ada baranganya sukur, gak ada barangnya tinggal ngeluyur jalan2"",0";
2023-10-04T03:59:32Z,@samplejggyijgsad,Alhamdulillah,0;
2023-10-04T03:37:07Z,@Rxtentacion,Katanya netizen SDM siap bersaing tapi masih main blokir2an wkwk,2;
2023-10-06T08:14:02Z,@mianhae-q,lo tau ga kenapa tiktokshop dilarang ?,0;
"2023-10-04T02:07:37Z,@MijiMedias-xo1dy,""😢😢😢😢hari ini TIK TOK akan resmi di tutup 😢😢😢😢😢😢😢,<br>ada kemungkinan OKE OCE akan di hidupkan kembali 😁😁😁😁😁😁😁.  CIIIIHUUUIII ."",0";
2023-10-04T00:32:47Z,@adikrahwana7121,Telat! Harusnya jauh-jauh hari sudah dilarang karena jelas ga ada izin jadi e-commerce. Mungkin takut reaksi dan balasan negara palu arit 😂,0;
"2023-10-04T02:05:27Z,@delenacrawford9199,""lo gak ganti komen lo atau edit, gw laporin ke cyber crime."",0";
"2023-10-04T03:16:10Z,@adibindrianto,""​@@delenacrawford9199memang bener kok, dari partai palu arit"",1";
2023-10-06T08:14:47Z,@mianhae-q,lebih bagus telat drpd gak sama sekali bos.,0;
2023-10-04T00:27:47Z,@adikrahwana7121,Alhamdulillah gak tahu ada yang namanya tik tok shop😂. Di Instagram juga suka ada yang promo barang tapi belinya tetap di e-commerce,0;
2023-10-04T00:05:58Z,@silverpicture8836,Titktok merusak pasaran,1;
"2023-10-05T09:17:10Z,@susujahe1855,""Btull, bagus di ttup,"",0";
"2023-10-07T04:52:36Z,@HendrikPurnomo-eu8rg,""Baca ampe Abis, penting utk anda ttg taktok bisnis=<br><br>Pertama,....... Kayaknya Ada oknum jahat yg Sebar hoax bhw pemerintah nutup tiktok bisnis. Mreka Sebar hoax tu utk mnghancurkan nama BAIK jokowi. Tjuan lain jg agr anak2 muda gen Z tdk memilih capres pilihan jokowi. Biadab mreka<br><br>Kdua,....... Gak da tiktok Bisnis ditutup. Dajjal Sebar hoax tiktok ditutup. Yg benar adlh tiktok Bisnis diatur agr usaha UMKM tdk bangkrut. Karena sjak Ada tiktok, pedagang2 UMKM yg tdk pakai tiktok sperti pedagang Kaki Lima jg jualan di pasar2 pd bangkrut alias tdk laku jualannya. <br><br>Ktiga ,...... Ingat, pedagang Kaki Lima jg punya anak n Istri yg butuh makan. Mreka jg ngontrak lapak2 dagangan. <br><br>Keempat........ Pemrintah Skrg mngatur cra Jual di tiktok agr pedagang Kaki Lima jg tdk bangkrut. Pham<br><br>Kelima,....... Brikut fakta, bukan hoax n bukan katanya bhw pemerintah TIDAK mnututup tiktok=<br><br><a href=""""https://www.facebook.com/100065367339652/posts/699861428869429/?mibextid=rS40aB7S9Ucbxw6v"""">https://www.facebook.com/100065367339652/posts/699861428869429/?mibextid=rS40aB7S9Ucbxw6v</a>"",0";
2023-10-03T23:49:03Z,@caturfit3158,Sya sdh feel wkt pertama tiktok shop bs jualan. Dgn hrg jauh dbwh hrg offline. Dn pemerintah skg bertindak ❤,2;
2023-10-03T20:30:18Z,@danismardiaman5684,Siap - siap besok hari pengganguran nasional,4;
"2023-10-05T18:11:25Z,@hobibrowsing1168,""Gak lah, paling beralih ke toko ol ijo ato orange"",1";
2023-10-06T08:15:10Z,@mianhae-q,lebay bet anjir,0;
2023-10-05T10:24:34Z,@gkgitujugatlol3266,Setuju tapi Gua GK ikut siapa siapa 😐,0;
2023-10-05T10:41:12Z,@Denipucukpinus,70% indonesia pekerja UMKM bukan Tiktok shop,0;
2023-10-05T10:50:37Z,@gkgitujugatlol3266,@@Denipucukpinus gk salah,0;
2023-10-05T16:41:09Z,@hobbyib3730,pointnya itu produk impor murah karena daya Produksiny barang banyak.  Sedangkan produk local daya produksinya barang g bnyak.  Jadi produk impor berani kasih harga d bawah standart sampai paling murah.  Akibatnya produk local kalah.  <br>Yg perlu d garis bawahi  tiktok itu milik negara yg daya produksi barang tinggi(China).  Maka bisa ja mereka menaikan trend barang produk dari negara mereka. Soalnya mereka bisa ngatur alogaritma tiktok Maka perlu d regualasi sosial media (tiktok) dan e-commer(shop) harus d pisah,0;
"2023-10-07T04:51:33Z,@HendrikPurnomo-eu8rg,""@@LitasmiHerdiani-bk8oq <br>Baca ampe Abis, penting utk anda ttg taktok bisnis=<br><br>Pertama,....... Kayaknya Ada oknum jahat yg Sebar hoax bhw pemerintah nutup tiktok bisnis. Mreka Sebar hoax tu utk mnghancurkan nama BAIK jokowi. Tjuan lain jg agr anak2 muda gen Z tdk memilih capres pilihan jokowi. Biadab mreka<br><br>Kdua,....... Gak da tiktok Bisnis ditutup. Dajjal Sebar hoax tiktok ditutup. Yg benar adlh tiktok Bisnis diatur agr usaha UMKM tdk bangkrut. Karena sjak Ada tiktok, pedagang2 UMKM yg tdk pakai tiktok sperti pedagang Kaki Lima jg jualan di pasar2 pd bangkrut alias tdk laku jualannya. <br><br>Ktiga ,...... Ingat, pedagang Kaki Lima jg punya anak n Istri yg butuh makan. Mreka jg ngontrak lapak2 dagangan. <br><br>Keempat........ Pemrintah Skrg mngatur cra Jual di tiktok agr pedagang Kaki Lima jg tdk bangkrut. Pham<br><br>Kelima,....... Brikut fakta, bukan hoax n bukan katanya bhw pemerintah TIDAK mnututup tiktok=<br><br><a href=""""https://www.facebook.com/100065367339652/posts/699861428869429/?mibextid=rS40aB7S9Ucbxw6v"""">https://www.facebook.com/100065367339652/posts/699861428869429/?mibextid=rS40aB7S9Ucbxw6v</a>"",0";
"2023-10-03T19:06:21Z,@adamagasta9834,""Allhamdulilah back to Offline Store <a href=""""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""""></a>"",0";
"2023-10-03T18:45:59Z,@luk-mans3415,""Telat bertindak, alhasil satu posisi dirugikan, mungkin 1000an orang gulung tikar dan nganggur grgr tiktok shop tutup, apalagi yang pekerjanya kasian banyak yang nganggur sales2 live tiktok,kenapa ga dari awal aja gitu di tindak lanjuti, susah si kalo soal cuan mah jalan terus ga mentingin rakyat kebawah :)"",4";
"2023-10-04T05:06:09Z,@user-yh9xe9du5x,""klo dhilangkan scara total mustahil bang, ini perkembangan jaman. smua negera sudah beralih ke knline shope. yg harus itu aturan, agar pasar tradisional tdak terlindas. dan pmerintah pnya kwajiban mengedukasi pada masyrkat agar bsa ikut perkembangan.. klo indo kembali lagi ke jaman dlu, perkembangan ekonomi malah smkin lambat, sbab dunia sudah berubah, cara orang berbelanja dan bertransaksi sudah berbeda."",1";
"2023-10-04T06:09:50Z,@luk-mans3415,""@@user-yh9xe9du5x yang nyuruh hilangkan semua siapa gan, coba dah baca baik2"",0";
"2023-10-04T06:11:23Z,@luk-mans3415,""@user-yh9xe9du5x  dan kenapa ga import nya aja di stop/tahan, kalo ditutup kek gini kan jadi banyak yang nganggur, ,padahal kalo import ditahan dan ini ga ditutup juga bisa juga memajukan produk lokal yang bisa di jual online"",0";
2023-10-04T14:10:44Z,@manusiabiasa8501,betul sangat setuju,0;
"2023-10-04T14:12:06Z,@manusiabiasa8501,""​@@user-yh9xe9du5xkalo tiktok di tutup knapa gk semua yg jualan online di tutup juga ,mungkin pasar pedagang lainya pasti rame lagi"",0";
2023-10-03T18:39:59Z,@hamster1252,Kwkwk menurut gw tiktok bakal tetap ada cuman dia buat app baru <br><br>Keuntungan tiktok udh gede ga segampang itu dia lepasin apa lagi di peraturannya cuman ga boleh di gabung e commerce sama market place ya tiktok tinggal buat app sendiri aja atas nama tiktok cuman buat jualan <br>Wkwkwkwkwk 😂😂😂😂😂,1;
"2023-10-06T08:16:41Z,@mianhae-q,""yauda gapapa kalo emang mau bikin aplikasi sendiri khusus jualan, kek semacam shope, tokped dan yg lainnya yg regulasinya jelas. <br>gadak yg larang juga, selama legal"",0";
2023-10-03T16:44:27Z,@baronmaha1930,kemunduran indonesia,1;
2023-10-03T17:45:11Z,@nikisfans8580,Yg jelas ku dukung Anies 💪💪💪 bukan merah lagi dah ketauan,0;
2023-10-04T02:51:29Z,@otaja1539,All in prabowo 😊,1;
"2023-10-03T17:44:21Z,@agnesmeliana442,""kasihan banyak pengangguran baru, ( Afliator, contect creator) dan hilangnya penghasilan pengusaha yg baru merintis"",6";
2023-10-03T19:22:48Z,@JanggarTolol888,Lebih kasian lg pedagang offline dan online di platform lainnya krn tiktok punya rencana buat memonopoli barang dgn impor besar2an dari China dan sekaligus buat produk mereka sendiri biar bisa jual lbh murah dari produk lokal jd pemerintah bikin kebijakan ini buat melindungi ekonomi dalam negeri,3;
2023-10-03T23:58:27Z,@srimulyanti5594,Bodo amat,0;
2023-10-04T00:29:12Z,@adikrahwana7121,Perusahaan China😂,0;
2023-10-04T02:52:03Z,@otaja1539,Omong kosong,0;
"2023-10-04T14:09:16Z,@manusiabiasa8501,""​@@JanggarTolol888kalo udh tau gitu knapa gk dari dlu gk usah ada tiktok shop ,eh ini skrang malah di tutup bli jelas"",0";
"2023-10-04T02:53:50Z,@otaja1539,""Harus nya maju sih, kan kiamat sudah dekat 😊"",0";
2023-10-06T08:17:28Z,@mianhae-q,ini salah satu bentuk kemajuan gblk.,0;
"2023-10-03T16:39:06Z,@rinohermawan14,""Tutup saja smua aplikasi luar negeri yg tidak Pro Rakyat/ UMKM. yg hanya bertujuan mengexploitasi warga lokal dan merusak harga pasar, dan aplikasi yg memungut biaya layanan yg tinggi pada Seller, Driver, dan Merchant Food. Negara ini lama lama dikuasai kapitalis asing melalui Aplikasi online.<br>Harusnya BUMN buat aplikasi tandingan yg Pro Rakyat. ini smua aplikasi lokal sahamnya sebagian besar sudah di beli pihak asing."",0";
2023-10-03T16:38:01Z,@m.rafardhanatharizz870,Baca tuh komennya @gobankferoza6136<br><br>👇,0;
2023-10-03T16:35:38Z,@m.rafardhanatharizz870,Pertama x denger ditiktok bisa jualan juga sampe² liat sendiri org² tiktok promosiin ke semua org. Dari situ saya sudah duga pasti pasti dan pasti bakalan jadi permasalahan besar. Bener aja kan hadeeeeeehhhh,2;
2023-10-03T16:35:22Z,@BolodewoTV,Pedagang offline semakin manja dan BOODOOHHH....!!!<br>Tapi yakinlah pedagang online yg pekerja keras akan terus menggilas lewat media yang lain.<br>Menutup tiktok shop tidak jaminan pedagang offline tidak tergilas ....!!!,0;
2023-10-03T16:40:58Z,@sukocofamily8399,Buahahahaa……… apa hubungannya bang?😂,2;
2023-10-03T17:29:57Z,@yogiadityafirmansyah1354,Ga gitu juga sumanto. Baca berita sampe abis baca permendag,1;
