"Median_House_Value","Median_Age","Tot_Rooms","Tot_Bedrooms","Population","Households"
"218400","52","2087","510","1197","488"
"269900","52","2513","502","1048","518"
"218800","46","3232","835","1373","747"
"225000","42","4120","1065","1715","1015"
"250000","43","2364","792","1359","722"
"171400","41","1471","469","1062","413"
"193800","29","2468","864","1335","773"
"125000","27","1632","492","1171","429"
"97500","45","1786","526","1475","460"
"125000","50","629","188","742","196"
"138800","52","1339","391","1086","363"
"116700","36","1678","606","1645","543"
"151800","43","2344","647","1710","644"
"127000","52","996","228","731","228"
"128600","52","1591","373","1118","347"
"140600","52","1586","398","1006","335"
"182700","47","2046","588","1213","554"
"146900","52","1192","289","772","257"
"122800","52","1803","420","1321","401"
"169300","49","2838","749","1487","677"
"126600","52","783","184","488","186"
"127900","51","1590","414","949","392"
"123500","50","1746","480","1149","415"
"111900","52","1252","299","844","280"
"112800","43","5963","1344","4367","1231"
"107900","52","1783","395","1659","412"
"137500","30","999","264","1011","263"
"105500","39","1469","431","1464","389"
"95500","47","1372","395","1237","303"
"116100","52","674","180","647","168"
"112200","43","1626","376","1284","357"
"75000","51","175","43","228","55"
"112500","39","461","129","381","123"
"125000","52","902","237","846","227"
"115000","20","2373","779","1659","676"
"95000","52","391","128","520","138"
"96400","52","1137","301","866","259"
"72000","52","769","206","612","183"
"71300","52","472","146","415","126"
"80800","52","862","215","994","213"
"128800","50","1920","530","1525","477"
"112500","43","1420","472","1506","438"
"119400","52","986","258","1008","255"
"118100","44","2340","825","2813","751"
"122500","48","1696","396","1481","343"
"106300","49","1175","217","859","219"
"132500","37","2343","574","1608","523"
"122700","30","610","145","425","140"
"113300","40","930","199","564","184"
"109500","44","1487","314","961","272"
"164700","52","3424","690","2273","685"
"125000","52","762","190","600","195"
"124700","46","2366","575","1647","527"
"136700","49","1826","450","1201","424"
"141700","38","3049","711","2167","659"
"150000","29","1640","376","939","340"
"138800","47","1543","307","859","292"
"139200","34","2364","557","1517","516"
"143800","35","1745","409","1143","386"
"156500","39","2003","500","1109","464"
"151000","39","2018","447","1221","446"
"273000","43","3045","499","1115","455"
"217100","52","1547","293","706","268"
"187100","52","3519","711","1883","706"
"239600","41","2070","354","804","340"
"229700","48","1321","263","506","252"
"257300","48","1694","259","610","238"
"246900","46","1938","341","768","332"
"179900","50","968","195","462","184"
"169600","40","1060","256","667","235"
"203300","46","2041","405","1059","399"
"263400","52","1813","271","637","277"
"231800","45","2718","451","1106","454"
"140500","28","3144","761","1737","669"
"126000","35","1802","459","1009","390"
"122000","49","882","195","737","210"
"134700","44","1621","452","1354","491"
"139400","45","2115","533","1530","474"
"115400","45","2021","528","1410","480"
"137300","46","2239","508","1390","569"
"137000","52","1477","300","1065","269"
"142600","52","1056","224","792","245"
"137500","49","898","244","779","245"
"111700","44","2968","710","2269","610"
"126800","43","1702","460","1227","407"
"111300","47","881","248","753","241"
"114800","40","494","114","547","135"
"102300","50","1776","473","1807","440"
"131900","44","1678","514","1700","495"
"119100","51","1637","463","1543","393"
"80600","52","1420","314","1085","300"
"80600","52","591","173","353","137"
"88800","52","745","153","473","149"
"102400","49","2272","498","1621","483"
"98700","46","1234","375","1183","354"
"100000","43","1017","328","836","277"
"92300","42","932","254","900","263"
"94800","39","2689","597","1888","537"
"102000","41","1547","415","1024","341"
"158400","52","2300","443","1225","423"
"121600","39","1752","399","1071","376"
"129100","50","1867","403","1128","378"
"121400","43","2430","502","1537","484"
"102800","44","1729","414","1240","393"
"160000","52","1026","180","469","168"
"143900","52","2170","428","1086","425"
"151200","52","2329","445","1144","417"
"164400","52","2492","415","1109","375"
"156500","52","2198","397","984","369"
"225000","33","142","31","575","47"
"174200","49","1183","205","496","209"
"166900","52","1070","193","555","190"
"163500","45","1766","332","869","327"
"253000","39","617","95","236","106"
"240700","41","1411","233","626","214"
"208100","46","2109","387","922","329"
"198100","47","1229","243","582","256"
"172800","50","954","217","546","201"
"336700","37","1643","262","620","266"
"318200","34","1355","195","442","195"
"285800","23","2317","336","955","328"
"293000","24","2459","317","916","324"
"371000","22","12842","2048","4985","1967"
"157300","42","1524","260","651","267"
"135300","30","3326","746","1704","703"
"136700","43","1985","440","1085","407"
"160700","50","1642","322","713","284"
"140600","49","893","177","468","181"
"144000","52","653","128","296","121"
"161900","47","1256","217","570","218"
"156300","48","977","194","446","180"
"176000","45","2324","397","968","384"
"145800","39","1583","349","857","316"
"141900","39","1612","342","912","322"
"90700","31","2424","533","1360","452"
"90600","41","1594","367","1074","355"
"107900","47","2118","413","965","382"
"107000","37","1575","358","933","320"
"98200","38","1764","397","987","354"
"89500","50","1187","261","907","246"
"93800","52","754","175","447","165"
"96700","49","2308","452","1299","451"
"97500","27","909","236","396","157"
"97300","42","1180","257","877","268"
"91200","43","2018","408","1111","367"
"91400","49","1368","282","790","269"
"96200","52","2744","547","1479","554"
"120100","51","2107","471","1173","438"
"100000","52","1748","362","1029","366"
"94700","52","2024","391","1030","350"
"85700","47","1116","259","826","279"
"89300","41","2036","510","1412","454"
"101400","45","1852","393","1132","349"
"72500","41","921","207","522","159"
"74100","45","995","238","630","237"
"70000","36","606","132","531","133"
"84600","37","2680","736","1925","667"
"81800","38","1493","370","1144","351"
"81400","19","2207","565","1481","520"
"81800","28","856","189","435","162"
"85800","26","1293","297","984","303"
"87100","36","847","212","567","159"
"83500","42","541","154","380","123"
"79700","44","1066","253","825","244"
"83400","43","707","147","417","155"
"84700","45","1528","291","801","287"
"80000","42","909","215","646","198"
"76400","43","1391","293","855","285"
"79700","44","548","119","435","136"
"82400","42","4074","874","2736","780"
"97700","41","1613","445","1481","414"
"97200","47","463","134","327","137"
"101600","43","818","193","494","179"
"86500","43","1473","371","1231","341"
"90500","35","504","126","323","109"
"107600","46","1026","226","749","225"
"84200","46","769","183","693","178"
"88900","46","2103","391","1339","354"
"80700","45","330","76","282","80"
"87100","46","941","218","621","195"
"85100","38","992","279","732","259"
"82000","45","990","261","901","260"
"82800","36","1126","263","482","150"
"84600","43","1036","233","652","213"
"82100","36","1047","214","651","166"
"89300","33","1280","307","999","286"
"98300","43","1587","320","907","306"
"92300","41","1257","271","828","230"
"88800","44","1218","248","763","254"
"90000","48","1751","390","935","349"
"95500","45","2299","514","1437","484"
"91700","38","2457","624","1516","482"
"100400","47","998","211","597","185"
"94800","40","1685","343","949","342"
"164300","46","1827","307","881","302"
"155500","36","2781","574","1438","519"
"196900","39","1823","286","763","270"
"279100","27","2229","365","1297","355"
"252800","34","1513","231","545","211"
"275400","26","3266","491","1222","533"
"250000","33","1809","261","808","219"
"329800","28","794","111","329","109"
"195500","36","690","105","299","109"
"255900","33","1334","200","579","202"
"311100","30","414","54","137","50"
"330000","36","768","93","229","93"
"248900","41","4400","666","1476","648"
"142900","46","954","161","429","154"
"126300","40","1445","256","849","255"
"135800","44","1938","399","946","331"
"130600","41","856","178","571","191"
"107900","24","1790","454","1137","386"
"111100","44","617","131","378","135"
"122000","43","1383","275","853","272"
"118000","49","1325","277","764","282"
"95200","40","1227","294","928","261"
"94300","35","667","140","406","133"
"92500","34","1223","281","824","280"
"91800","37","1379","287","835","259"
"109400","43","1534","300","826","295"
"129500","46","1029","181","567","211"
"143400","52","771","147","355","144"
"98200","47","824","223","533","166"
"103100","44","1097","239","609","215"
"276800","49","1283","238","576","236"
"270900","52","1604","263","594","286"
"246200","52","2248","422","870","377"
"224200","38","2263","522","1027","509"
"229100","52","1571","349","693","326"
"211600","46","1520","402","815","375"
"256100","15","5083","1212","2420","1146"
"206300","36","1077","293","518","276"
"221300","52","1248","283","620","275"
"207400","42","1342","291","551","266"
"350000","37","3061","930","2556","924"
"218200","52","3171","698","1498","696"
"216700","50","1211","261","523","227"
"270600","52","979","175","374","153"
"261400","52","2269","380","1004","371"
"261300","52","1844","332","769","334"
"232200","52","2178","421","940","423"
"375400","42","1650","274","645","256"
"357300","52","1927","279","705","288"
"374400","52","2079","273","684","275"
"358800","52","1803","240","572","236"
"417500","52","2041","270","671","253"
"430500","52","3046","373","975","365"
"362900","52","2318","328","779","312"
"397000","52","2003","250","658","244"
"346800","52","2261","328","819","335"
"327100","52","1225","169","412","168"
"290100","52","2315","408","835","369"
"292000","52","2070","329","722","306"
"270900","52","2616","473","1085","487"
"371100","52","2640","366","973","355"
"335600","52","1978","293","723","272"
"371300","37","2220","335","903","362"
"344000","41","1125","195","356","181"
